"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"4M20.00","Lymphoma stage I","4M20.00","","IMRD"
"4M21.00","Lymphoma stage II","4M21.00","","IMRD"
"4M22.00","Lymphoma stage III","4M22.00","","IMRD"
"4M23.00","Lymphoma stage IV","4M23.00","","IMRD"
"A789600","HIV disease resulting in Burkitt's lymphoma","A789600","","IMRD"
"A789611","HIV disease resulting in Burkitt lymphoma","A789611","","IMRD"
"A789700","HIV dis resulting oth types of non-Hodgkin's lymphoma","A789700","","IMRD"
"A789711","HIV disease resulting in other types of non-Hodgkin lymphoma","A789711","","IMRD"
"AyuC600","[X]HIV disease resulting in other non-Hodgkin's lymphoma","AyuC600","","IMRD"
"AyuC611","[X]HIV disease resulting in other non-Hodgkin lymphoma","AyuC611","","IMRD"
"B6...00","Malignant neoplasm of lymphatic and haemopoietic tissue","B6...00","","IMRD"
"B6...11","Malignant neoplasm of histiocytic tissue","B6...11","","IMRD"
"B60..00","Lymphosarcoma and reticulosarcoma","B60..00","","IMRD"
"B600.00","Reticulosarcoma","B600.00","","IMRD"
"B600000","Reticulosarcoma of unspecified site","B600000","","IMRD"
"B600100","Reticulosarcoma of lymph nodes of head, face and neck","B600100","","IMRD"
"B600200","Reticulosarcoma of intrathoracic lymph nodes","B600200","","IMRD"
"B600300","Reticulosarcoma of intra-abdominal lymph nodes","B600300","","IMRD"
"B600400","Reticulosarcoma of lymph nodes of axilla and upper limb","B600400","","IMRD"
"B600500","Reticulosarcoma of lymph nodes of inguinal region and leg","B600500","","IMRD"
"B600600","Reticulosarcoma of intrapelvic lymph nodes","B600600","","IMRD"
"B600700","Reticulosarcoma of spleen","B600700","","IMRD"
"B600800","Reticulosarcoma of lymph nodes of multiple sites","B600800","","IMRD"
"B600z00","Reticulosarcoma NOS","B600z00","","IMRD"
"B601.00","Lymphosarcoma","B601.00","","IMRD"
"B601000","Lymphosarcoma of unspecified site","B601000","","IMRD"
"B601100","Lymphosarcoma of lymph nodes of head, face and neck","B601100","","IMRD"
"B601200","Lymphosarcoma of intrathoracic lymph nodes","B601200","","IMRD"
"B601300","Lymphosarcoma of intra-abdominal lymph nodes","B601300","","IMRD"
