"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"816","Carpal tunnel syndrome","F340.00","","CPRD_GOLD"
"1607","Guillain-Barre syndrome","F370000","","CPRD_GOLD"
"2342","Diabetic neuropathy","F372.12","","CPRD_GOLD"
"2790","Peripheral neuropathy","F367.00","","CPRD_GOLD"
"2925","Alcoholic polyneuropathy","F375.00","","CPRD_GOLD"
"3958","Polyneuropathy","F366.00","","CPRD_GOLD"
"5002","Diabetic polyneuropathy","F372.11","","CPRD_GOLD"
"6908","Other idiopathic peripheral neuropathy NOS","F36yz00","","CPRD_GOLD"
"6926","CTS - Carpal tunnel syndrome","F340.12","","CPRD_GOLD"
"7635","Hereditary sensory neuropathy","F362.00","","CPRD_GOLD"
"7795","Diabetes mellitus with neuropathy","C106.12","","CPRD_GOLD"
"8591","Peripheral neuropathy - hereditary or idiopathic","F35z.11","","CPRD_GOLD"
"10722","Inflammatory and toxic neuropathy","F37..00","","CPRD_GOLD"
"14883","Hereditary or idiopathic peripheral neuropathy NOS","F36z.00","","CPRD_GOLD"
"14884","Other idiopathic peripheral neuropathy","F36y.00","","CPRD_GOLD"
"15481","Toxic or inflammatory neuropathy NOS","F37z.00","","CPRD_GOLD"
"16368","Idiopathic peripheral autonomic neuropathy","F170.00","","CPRD_GOLD"
"16491","Diabetes mellitus with polyneuropathy","C106.13","","CPRD_GOLD"
"17067","Autonomic neuropathy due to diabetes","F171100","","CPRD_GOLD"
"18075","Hereditary and idiopathic peripheral neuropathy","F36..00","","CPRD_GOLD"
"18425","Type 2 diabetes mellitus with polyneuropathy","C10FB00","","CPRD_GOLD"
"18534","Ulnar neuropathy","F342400","","CPRD_GOLD"
"19454","Polyneuropathy in uraemia","F374A00","","CPRD_GOLD"
"24222","Polyneuropathy due to drugs","F376.00","","CPRD_GOLD"
"24226","Polyneuropathy unspecified","F37z.11","","CPRD_GOLD"
"24355","Polyneuropathy in vitamin B deficiency","F374200","","CPRD_GOLD"
"24571","Asymptomatic diabetic neuropathy","F372200","","CPRD_GOLD"
"24694","Insulin dependent diabetes mellitus with mononeuropathy","C108B00","","CPRD_GOLD"
"30537","Polyneuropathy in malignant disease","F373.00","","CPRD_GOLD"
"30668","Autonomic neuropathy due to amyloid","F171000","","CPRD_GOLD"
"31551","Inflammatory polyneuropathy, unspecified","F37X.00","","CPRD_GOLD"
"31709","Postherpetic polyneuropathy","A531300","","CPRD_GOLD"
"31790","Polyneuropathy in diabetes","F372.00","","CPRD_GOLD"
"32527","Hereditary motor and sensory neuropathy","F368.00","","CPRD_GOLD"
