"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"4C53.00","Bone marrow: myeloma cells","4C53.00","","IMRD"
"B63..00","Multiple myeloma and immunoproliferative neoplasms","B63..00","","IMRD"
"B630.00","Multiple myeloma","B630.00","","IMRD"
"B630.11","Kahler's disease","B630.11","","IMRD"
"B630.12","Myelomatosis","B630.12","","IMRD"
"B630000","Malignant plasma cell neoplasm, extramedullary plasmacytoma","B630000","","IMRD"
"B630011","Extramedullary plasmacytoma","B630011","","IMRD"
"B630100","Solitary myeloma","B630100","","IMRD"
"B630200","Plasmacytoma NOS","B630200","","IMRD"
"B630300","Lambda light chain myeloma","B630300","","IMRD"
"B630400","Solitary plasmacytoma","B630400","","IMRD"
"B631.00","Plasma cell leukaemia","B631.00","","IMRD"
"B63y.00","Other immunoproliferative neoplasms","B63y.00","","IMRD"
"B63z.00","Immunoproliferative neoplasm or myeloma NOS","B63z.00","","IMRD"
"B936.00","Neoplasm of uncertain behaviour of plasma cells","B936.00","","IMRD"
"B936.11","Myeloma - solitary","B936.11","","IMRD"
"B936.12","Plasmacytoma NOS","B936.12","","IMRD"
"BBr3z00","[M]Plasma cell leukaemia NOS","BBr3z00","","IMRD"
"BBm6.00","[M] Alpha heavy chain disease","BBm6.00","","IMRD"
"BBmE.00","[M] Gamma heavy chain disease","BBmE.00","","IMRD"
"BBn..00","[M]Plasma cell tumours","BBn..00","","IMRD"
"BBn0.00","[M]Plasma cell myeloma","BBn0.00","","IMRD"
"BBn0.11","[M]Multiple myeloma","BBn0.11","","IMRD"
"BBn0.12","[M]Myeloma NOS","BBn0.12","","IMRD"
"BBn0.13","[M]Myelomatosis","BBn0.13","","IMRD"
"BBn0.14","[M]Plasmacytic myeloma","BBn0.14","","IMRD"
"BBn2.00","[M]Plasmacytoma NOS","BBn2.00","","IMRD"
"BBn2.11","[M]Monostotic myeloma","BBn2.11","","IMRD"
"BBn2.12","[M]Solitary myeloma","BBn2.12","","IMRD"
"BBn3.00","[M]Plasma cell tumour, malignant","BBn3.00","","IMRD"
"BBnz.00","[M]Plasma cell tumour NOS","BBnz.00","","IMRD"
"BBr3.00","[M]Plasma cell leukaemias","BBr3.00","","IMRD"
"BBr3000","[M]Plasma cell leukaemia","BBr3000","","IMRD"
"C333100","Alpha heavy chain disease","C333100","","IMRD"
"C333200","Gamma heavy chain disease","C333200","","IMRD"
"C333300","Heavy chain disease","C333300","","IMRD"
"N330900","Osteoporosis in multiple myelomatosis","N330900","","IMRD"
"B630500","Smouldering myeloma","B630500","","IMRD"
