"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"F4K0.00","Scleritis and episcleritis","F4K0.00","","IMRD"
"F4K0.12","Scleritis","F4K0.12","","IMRD"
"F4K0000","Unspecified scleritis","F4K0000","","IMRD"
"F4K0300","Anterior scleritis","F4K0300","","IMRD"
"F4K0400","Scleromalacia perforans","F4K0400","","IMRD"
"F4K0500","Sclerokeratitis","F4K0500","","IMRD"
"F4K0600","Brawny scleritis","F4K0600","","IMRD"
"F4K0700","Posterior scleritis","F4K0700","","IMRD"
"F4K0711","Sclerotenonitis","F4K0711","","IMRD"
"F4K0800","Scleral abscess","F4K0800","","IMRD"
"FyuD800","[X]Scleritis+episcleritis in diseases CE","FyuD800","","IMRD"
