"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"674","Meniere's disease","F560.00","","CPRD_GOLD"
"16229","H/O: vertigo/Meniere's disease","1491.00","","CPRD_GOLD"
"16334","Meniere's disease NOS","F560z00","","CPRD_GOLD"
"16593","H/O: Meniere's disease","1491.11","","CPRD_GOLD"
"18047","Endolymphatic hydrops","F560.11","","CPRD_GOLD"
"39499","Active cochlear Meniere's disease","F560200","","CPRD_GOLD"
"44564","Lermoyez's syndrome","F560.12","","CPRD_GOLD"
"47541","Unspecified Meniere's disease","F560000","","CPRD_GOLD"
"55827","Active vestibular Meniere's disease","F560300","","CPRD_GOLD"
"66733","Active cochleovestibular Meniere's disease","F560100","","CPRD_GOLD"
