"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"16333","Other reactive psychoses","E13y.00","","CPRD_GOLD"
"20228","Reactive psychoses","E13..11","","CPRD_GOLD"
"21455","[X]Cycloid psychosis","Eu23012","","CPRD_GOLD"
"23538","Brief reactive psychosis","E13y100","","CPRD_GOLD"
"26119","Other reactive psychoses NOS","E13yz00","","CPRD_GOLD"
"26143","[X]Cycloid psychosis with symptoms of schizophrenia","Eu23112","","CPRD_GOLD"
"29651","[X]Reactive psychosis","Eu23z12","","CPRD_GOLD"
"31707","[X]Brief reactive psychosis NOS","Eu23z11","","CPRD_GOLD"
"41022","[X]Schizophreniform psychosis, depressive type","Eu25112","","CPRD_GOLD"
"50023","[X]Bouffee delirante","Eu23011","","CPRD_GOLD"
"51903","[X]Schizophreniform psychosis, manic type","Eu25012","","CPRD_GOLD"
"54848","[X]Cycloid personality","Eu34012","","CPRD_GOLD"
"59096","[X]Brief schizophreniform disorder","Eu23211","","CPRD_GOLD"
"68058","Bouffee delirante","E133.11","","CPRD_GOLD"
