"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1293","Obsessional personality","E214100","","CPRD_GOLD"
"2030","Obsessional neurosis","E203100","","CPRD_GOLD"
"3208","Obsessive-compulsive disorders","E203.00","","CPRD_GOLD"
"5304","[X]Obsessive - compulsive disorder","Eu42.00","","CPRD_GOLD"
"5678","Compulsive neurosis","E203000","","CPRD_GOLD"
"8863","[X]Compulsive gambling","Eu63011","","CPRD_GOLD"
"11608","Compulsive eating disorder","E275111","","CPRD_GOLD"
"15566","Obsessive-compulsive disorder NOS","E203z00","","CPRD_GOLD"
"17420","[X]Obsessive-compulsive personality disorder","Eu60513","","CPRD_GOLD"
"18399","[X]Mixed obsessional thoughts and acts","Eu42200","","CPRD_GOLD"
"18494","Obsessional thoughts","1Ba0.00","","CPRD_GOLD"
"20634","[X]Predominantly obsessional thoughts or ruminations","Eu42000","","CPRD_GOLD"
"20881","Compulsive personality disorders","E214.00","","CPRD_GOLD"
"21836","[X]Obsessive-compulsive neurosis","Eu42.12","","CPRD_GOLD"
"22019","[X]Predominantly compulsive acts [obsessional rituals]","Eu42100","","CPRD_GOLD"
"22259","[X]Obsessional personality disorder","Eu60512","","CPRD_GOLD"
"22654","Compulsive behaviour","1P3..00","","CPRD_GOLD"
"22721","[X]Obsessive-compulsive disorder, unspecified","Eu42z00","","CPRD_GOLD"
"34456","Compulsive personality disorder NOS","E214z00","","CPRD_GOLD"
"38100","[X]Compulsive personality disorder","Eu60511","","CPRD_GOLD"
"38809","[X]Other obsessive-compulsive disorders","Eu42y00","","CPRD_GOLD"
"40057","Anancastic personality","E214.11","","CPRD_GOLD"
"45362","Compulsive water drinking","E275711","","CPRD_GOLD"
"47365","Anancastic neurosis","E203.11","","CPRD_GOLD"
"51769","Compulsive uncontrollable drug taking","1P30.00","","CPRD_GOLD"
"66615","Compulsive drug taking","1P31.00","","CPRD_GOLD"
"107134","Flooding - obsessional compulsive disorder","Z522600","","CPRD_GOLD"
"108910","Compulsive eating scale","ZR3i.00","","CPRD_GOLD"
