"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"19006012","Thoracic spondylosis with myelopathy","N113.00","10948005","CPRD_AURUM"
"91728013","Coxae malum senilis","N052511","55176002","CPRD_AURUM"
"297150011","Myelopathy due to spondylosis","F163200","192907007","CPRD_AURUM"
"309876015","Secondary multiple arthrosis","N050500","201825001","CPRD_AURUM"
"309877012","Erosive osteoarthrosis","N050600","201826000","CPRD_AURUM"
"309878019","Heberden's nodes with arthropathy","N050700","201827009","CPRD_AURUM"
"309892013","Localised, primary osteoarthritis of the hand","N051400","201834006","CPRD_AURUM"
"309901013","Primary coxarthrosis, bilateral","N051900","201839001","CPRD_AURUM"
"309903011","Primary gonarthrosis, bilateral","N051B00","201841000","CPRD_AURUM"
"309904017","Primary arthrosis of first carpometacarpal joints, bilateral","N051C00","201842007","CPRD_AURUM"
"309914014","Localised, secondary osteoarthritis","N052.00","201847001","CPRD_AURUM"
"309923012","Localised, secondary osteoarthritis of the hand","N052400","201852006","CPRD_AURUM"
"309933016","Localised, secondary osteoarthritis of the ankle and foot","N052700","201855008","CPRD_AURUM"
"309936012","Post-traumatic coxarthrosis, bilateral","N052900","201857000","CPRD_AURUM"
"309937015","Post-traumatic gonarthrosis, bilateral","N052A00","201858005","CPRD_AURUM"
"311055019","Single-level cervical spondylosis without myelopathy","N110000","202657000","CPRD_AURUM"
"311056018","Two-level cervical spondylosis without myelopathy","N110100","202658005","CPRD_AURUM"
"311061016","Single-level cervical spondylosis with myelopathy","N111000","202661006","CPRD_AURUM"
"311063018","Multiple-level cervical spondylosis with myelopathy","N111200","202663009","CPRD_AURUM"
"311068010","Single-level thoracic spondylosis without myelopathy","N112000","202666001","CPRD_AURUM"
"311069019","Two-level thoracic spondylosis without myelopathy","N112100","202667005","CPRD_AURUM"
"311070018","Multiple-level thoracic spondylosis without myelopathy","N112200","202668000","CPRD_AURUM"
"311074010","Multiple-level thoracic spondylosis with myelopathy","N113200","202672001","CPRD_AURUM"
"311082010","Lumbosacral spondylosis with myelopathy","N115.00","202677007","CPRD_AURUM"
"311083017","Single-level lumbosacral spondylosis with myelopathy","N115000","202678002","CPRD_AURUM"
