"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"277","Osteoporosis","N330.00",,"455152","CPRD_GOLD"
"3346","Vertebral osteoporosis","N330B00",,"3324","CPRD_GOLD"
"4013","Collapse of vertebra due to osteoporosis NOS","N331L00",,"970","CPRD_GOLD"
"5841","Collapse of lumbar vertebra due to osteoporosis","N331J00",,"1191","CPRD_GOLD"
"9700","Postmenopausal osteoporosis","N330200",,"1651","CPRD_GOLD"
"11503","Fragility fracture due to unspecified osteoporosis","N331M00",,"11901","CPRD_GOLD"
"12673","Osteoporosis + pathological fracture thoracic vertebrae","N331900",,"1829","CPRD_GOLD"
"13987","Forearm DXA scan result osteoporotic","58E4.00",,"1383","CPRD_GOLD"
"14967","Osteoporosis, unspecified","N330000",,"3418","CPRD_GOLD"
"16307","Senile osteoporosis","N330100",,"719","CPRD_GOLD"
"16857","Osteoporosis localized to spine","N330C00",,"769","CPRD_GOLD"
"17377","Osteoporosis + pathological fracture lumbar vertebrae","N331800",,"2022","CPRD_GOLD"
"18731","H/O: fragility fracture","14G6.00",,"4565","CPRD_GOLD"
"18825","[X]Unspecified osteoporosis with pathological fracture","NyuB800",,"487","CPRD_GOLD"
"19048","Collapse of thoracic vertebra due to osteoporosis","N331K00",,"1274","CPRD_GOLD"
"24093","Drug-induced osteoporosis","N330500",,"340","CPRD_GOLD"
"25650","Osteoporosis due to corticosteroids","N330D00",,"86","CPRD_GOLD"
"27597","Idiopathic osteoporosis with pathological fracture","N331600",,"168","CPRD_GOLD"
"31580","Osteoporosis in endocrine disorders","N330A00",,"12","CPRD_GOLD"
"33526","Osteoporosis of disuse with pathological fracture","N331300",,"77","CPRD_GOLD"
"34129","Osteoporosis treatment changed","66a4.00",,"291","CPRD_GOLD"
"34798","Osteoporosis NOS","N330z00",,"7399","CPRD_GOLD"
"36432","Osteoporotic kyphosis","N374600",,"157","CPRD_GOLD"
"36644","Osteoporosis treatment stopped","66a3.00",,"80","CPRD_GOLD"
"37646","Osteoporosis treatment started","66a2.00",,"1096","CPRD_GOLD"
"38395","Postmenopausal osteoporosis with pathological fracture","N331B00",,"151","CPRD_GOLD"
"39217","Lumbar DXA scan result osteoporotic","58EM.00",,"13517","CPRD_GOLD"
"39334","Postoophorectomy osteoporosis with pathological fracture","N331200",,"18","CPRD_GOLD"
"40428","Idiopathic osteoporosis","N330300",,"174","CPRD_GOLD"
"41755","[X]Other osteoporosis","NyuB100",,"238","CPRD_GOLD"
"42354","Hip DXA scan result osteoporotic","58EG.00",,"7884","CPRD_GOLD"
"44386","Osteoporotic vertebral collapse","N331.14",,"340","CPRD_GOLD"
"45736","Collapse of cervical vertebra due to osteoporosis","N331H00",,"335","CPRD_GOLD"
"46510","Heel DXA scan result osteoporotic","58EA.00",,"759","CPRD_GOLD"
"46894","Drug-induced osteoporosis with pathological fracture","N331500",,"47","CPRD_GOLD"
"48772","Osteoporosis + pathological fracture cervical vertebrae","N331A00",,"48","CPRD_GOLD"
"48962","Osteoporosis - no treatment","66a5.00",,"113","CPRD_GOLD"
"51891","Quantitative ultrasound scan of heel - result osteoporotic","585O.00",,"33","CPRD_GOLD"
"54232","Localized osteoporosis - Lequesne","N330800",,"15","CPRD_GOLD"
"57301","[X]Other osteoporosis with pathological fracture","NyuB000",,"39","CPRD_GOLD"
"60433","Osteoporosis in multiple myelomatosis","N330900",,"22","CPRD_GOLD"
"62702","Dissuse osteoporosis","N330400",,"47","CPRD_GOLD"
"68019","Postsurgical malabsorption osteoporosis with path fracture","N331400",,"3","CPRD_GOLD"
"70233","Osteoporosis - treatment response","66aA.00",,"162","CPRD_GOLD"
"70349","Postoophorectomy osteoporosis","N330600",,"14","CPRD_GOLD"
"93497","Fragility fracture","N331N00",,"83269","CPRD_GOLD"
"93655","Postsurgical malabsorption osteoporosis","N330700",,"6","CPRD_GOLD"
"93705","Minimal trauma fracture due to unspecified osteoporosis","N331M11",,"18","CPRD_GOLD"
"93981","Minimal trauma fracture","N331N11",,"109","CPRD_GOLD"
"96342","Femoral neck DEXA scan result osteoporotic","58EV.00",,"4981","CPRD_GOLD"
"98189","Osteoporosis - no treatment response","66aB.00",,"5","CPRD_GOLD"
"98433","Osteoporosis - enhanced services administration","9kj..00",,"327","CPRD_GOLD"
"98760","Bone sparing drug treatment offered for osteoporosis - ESA","9kj0.00",,"3242","CPRD_GOLD"
"99817","History of osteoporosis","14GB.00",,"2607","CPRD_GOLD"
"102730","[X]Osteoporosis in other disorders classified elsewhere","NyuB200",,"14","CPRD_GOLD"
"110401","Osteoporosis medication compliance review","8B31E00",,"885","CPRD_GOLD"
