"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"297589013","Myasthenic syndrome due to pernicious anaemia","F381500","193213003","30","CPRD_AURUM"
"351106013","Congenital deficiency of intrinsic factor","D010.13","234361004","76","CPRD_AURUM"
"351107016","Biermer's congenital pernicious anaemia","D010.12","234362006","11","CPRD_AURUM"
"906551000006112","[RFC] Pernicious anaemia","","906551000006108","6947","CPRD_AURUM"
"223491000000112","Addison's anaemia","D010.11","84027009","187","CPRD_AURUM"
"3867011000006118","Biermer's anaemia","","84027009","0","CPRD_AURUM"
"3866991000006112","Biermer's anemia","","84027009","0","CPRD_AURUM"
"3867001000006116","Addisonian pernicious anaemia","","84027009","0","CPRD_AURUM"
"3867031000006112","PA - Pernicious anaemia","","84027009","0","CPRD_AURUM"
"3866981000006114","Addison's anemia","","84027009","0","CPRD_AURUM"
"3866951000006118","Pernicious anemia","","84027009","1","CPRD_AURUM"
"5063541000006113","Biermer congenital pernicious anemia","","234362006","0","CPRD_AURUM"
"4770761000006113","Myasthenic syndrome due to pernicious anemia","","193213003","0","CPRD_AURUM"
"3866961000006116","Addisonian pernicious anemia","","84027009","0","CPRD_AURUM"
"505888017","Pernicious anaemia","D010.00","84027009","638087","CPRD_AURUM"
"5063531000006115","Biermer's congenital pernicious anemia","","234362006","0","CPRD_AURUM"
