"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"877","Thrombocytopenic purpura","D313.15","","CPRD_GOLD"
"5144","Idiopathic thrombocytopenic purpura","D313.12","","CPRD_GOLD"
"5181","ITP - idiopathic thrombocytopenic purpura","D313012","","CPRD_GOLD"
"12234","Idiopathic thrombocytopenic purpura","D313000","","CPRD_GOLD"
"16420","Auto-immune thrombocytopenia","42P2.11","","CPRD_GOLD"
"21604","Idiopathic purpura","D313011","","CPRD_GOLD"
"22463","Primary thrombocytopenia","D313.00","","CPRD_GOLD"
"38754","[X]Essential thrombocytopenia NOS","D313300","","CPRD_GOLD"
"45698","Essential thrombocytopenia NOS","D313z11","","CPRD_GOLD"
"54005","Other specified primary thrombocytopenia","D313y00","","CPRD_GOLD"
"57456","Primary thrombocytopenia NOS","D313z00","","CPRD_GOLD"
"62795","[X]Other primary thrombocytopenia","Dyu3200","","CPRD_GOLD"
"71257","Idiopathic purpura","D313.13","","CPRD_GOLD"
