"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"155361017","Malignant neoplasm of main bronchus","B221.00","372065009","22576","CPRD_AURUM"
"288809017","Malignant neoplasm of cartilage of trachea","B220000","187853005","60","CPRD_AURUM"
"288813012","Malignant neoplasm of carina of bronchus","B221000","187857006","1794","CPRD_AURUM"
"288822013","Malignant neoplasm of middle lobe, bronchus or lung","B223.00","187864008","3958","CPRD_AURUM"
"288827019","Malignant neoplasm of lower lobe bronchus","B224000","187869003","1371","CPRD_AURUM"
"414849013","Pancoast's syndrome","B222.11","278065000","942","CPRD_AURUM"
"1219789016","[M]Bronchiolo-alveolar adenocarcinoma","BB5S200","112677002","1319","CPRD_AURUM"
"880041000006111","Ca trachea/bronchus/lung","B22..99","430621000","6784","CPRD_AURUM"
"880051000006113","Ca upper lobe bronchus/lung","B222.99","269464000","2456","CPRD_AURUM"
"880071000006115","Ca lower lobe bronchus/lung","B224.99","187868006","1046","CPRD_AURUM"
"288815017","Malignant neoplasm of main bronchus NOS","B221z00","372065009","1156","CPRD_AURUM"
"288821018","Malignant neoplasm of upper lobe, bronchus or lung NOS","B222z00","269464000","1573","CPRD_AURUM"
"288825010","Malignant neoplasm of middle lobe, bronchus or lung NOS","B223z00","187864008","118","CPRD_AURUM"
"288829016","Malignant neoplasm of lower lobe, bronchus or lung NOS","B224z00","187868006","454","CPRD_AURUM"
"306131000006118","[M]Bronchiolar carcinoma","BB5S212","112677002","2020","CPRD_AURUM"
"1227559018","[V]Personal history of malignant neoplasm of bronchus","ZV10111","415077006","85","CPRD_AURUM"
"1227560011","[V]Personal history of malignant neoplasm of lung","ZV10112","415082004","158","CPRD_AURUM"
"1227561010","[V]Personal history of malignant neoplasm of trachea","ZV10113","415085002","7","CPRD_AURUM"
"292105018","[X]Malignant neoplasm of bronchus or lung, unspecified","Byu2000","1090881000000100","2733","CPRD_AURUM"
"288811014","Malignant neoplasm of trachea NOS","B220z00","363432004","61","CPRD_AURUM"
"344781000006115","[V]Personal history of malig neop of trachea/bronchus/lung","ZV10100","412341000000106","110","CPRD_AURUM"
"808161000006113","H/O: * bronchus","1422.00","415077006","429","CPRD_AURUM"
"396381000006118","[X]Malignant neoplasm of respiratory and intrathoracic orga","Byu2.00","448708002","363","CPRD_AURUM"
"733371000006119","Lung cancer","B22z.11","93880001","272631","CPRD_AURUM"
"808291000006114","H/O: * trachea/lung","1423.00","266988009","535","CPRD_AURUM"
"288823015","Malignant neoplasm of middle lobe bronchus","B223000","187865009","442","CPRD_AURUM"
"288824014","Malignant neoplasm of middle lobe of lung","B223100","187866005","1700","CPRD_AURUM"
"288808013","Malignant neoplasm of trachea, bronchus and lung","B22..00","430621000","107520","CPRD_AURUM"
"305201000006114","[M]Alveolar cell carcinoma","BB5S211","112677002","470","CPRD_AURUM"
"723301000006110","Malignant neoplasm of overlapping lesion of bronchus & lung","B225.00","109371002","420","CPRD_AURUM"
"880031000006118","Ca trachea/bronchus/lung NOS","B22..98","430621000","1701","CPRD_AURUM"
"880061000006110","Ca middle lobe bronchus/lung","B223.99","187864008","305","CPRD_AURUM"
"403688010","Malignant neoplasm of upper lobe, bronchus or lung","B222.00","269464000","24246","CPRD_AURUM"
"288819011","Malignant neoplasm of upper lobe bronchus","B222000","187861000","3493","CPRD_AURUM"
"721391000006116","Malignant neoplasm of trachea","B220.00","363432004","1245","CPRD_AURUM"
"305181000006113","[M]Alveolar adenocarcinoma","BB5S400","36310008","200","CPRD_AURUM"
"288832018","Malignant neoplasm of other sites of bronchus or lung","B22y.00","363358000","1512","CPRD_AURUM"
"288810010","Malignant neoplasm of mucosa of trachea","B220100","187854004","2","CPRD_AURUM"
"288820017","Malignant neoplasm of upper lobe of lung","B222100","187862007","22006","CPRD_AURUM"
"288826011","Malignant neoplasm of lower lobe, bronchus or lung","B224.00","187868006","9714","CPRD_AURUM"
"288828012","Malignant neoplasm of lower lobe of lung","B224100","187870002","10768","CPRD_AURUM"
"155287019","Malignant neoplasm of hilus of lung","B221100","93827000","1590","CPRD_AURUM"
"403689019","Malignant neoplasm of bronchus or lung NOS","B22z.00","363358000","213556","CPRD_AURUM"
"808281000006111","H/O: * trachea","1423.12","415085002","86","CPRD_AURUM"
