"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"30382015","Pulmonary arteritis","G42y000","17993000","CPRD_AURUM"
"84262013","Goodpasture's syndrome","G752000","50581000","CPRD_AURUM"
"97982010","Lethal midline granuloma","G753.00","58961005","CPRD_AURUM"
"124653012","Kawasaki disease","G751000","75053002","CPRD_AURUM"
"129661016","Thrombotic thrombocytopenic purpura","G756100","78129009","CPRD_AURUM"
"242065019","Polyarteritis nodosa","G750.00","155441006","CPRD_AURUM"
"294337012","Henoch-Schonlein purpura","D310000","191306005","CPRD_AURUM"
"300579010","Wegener's granulomatosis","G754.00","195353004","CPRD_AURUM"
"300593015","Juvenile polyarteritis","G759.00","195363007","CPRD_AURUM"
"303849011","Nephrotic syndrome in polyarteritis nodosa","K01x300","197607004","CPRD_AURUM"
"354514013","Henoch-Schonlein nephritis","D310100","236504007","CPRD_AURUM"
"354518011","Antiglomerular basement membrane disease","G752111","236506009","CPRD_AURUM"
"354520014","Goodpasture's disease","G752100","236506009","CPRD_AURUM"
"359513016","Giant cell arteritis with polymyalgia rheumatica","N200.00","239938009","CPRD_AURUM"
"503763019","Moschcowitz syndrome","G756000","78129009","CPRD_AURUM"
"2534171012","Giant cell arteritis","G755.00","414341000","CPRD_AURUM"
"990621000006115","Polyarteritis nodosa NOS","G750.99","155441006","CPRD_AURUM"
"2157271000000115","Microscopic polyangiitis","G75A.00","829821000000102","CPRD_AURUM"
"1787110010","Horton's disease","G755200","400130008","CPRD_AURUM"
"300503012","Thromboangiitis obliterans NOS","G731z00","52403007","CPRD_AURUM"
"300565019","Polyarteritis nodosa and allied conditions","G75..00","155441006","CPRD_AURUM"
"300577012","Hypersensitivity angiitis NOS","G752z00","60555002","CPRD_AURUM"
"300587011","Thrombotic microangiopathy NOS","G756z00","126729006","CPRD_AURUM"
"395799018","Arteritis unspecified","G766.00","52089001","CPRD_AURUM"
"475140019","Aortic arch arteritis","G757.11","359789008","CPRD_AURUM"
"370681000006116","[X]Cerebral arteritis in other diseases CE","Gyu6900","28366008","CPRD_AURUM"
"681411000006118","Necrotising vasculopathy, unspecified","G75X.00","943291000000106","CPRD_AURUM"
"5141661000006114","Giant cell arteritis without polymyalgia rheumatica","","239939001","CPRD_AURUM"
"5008941000006114","Arteritic ischaemic optic neuropathy","","230508004","CPRD_AURUM"
"3720161000006112","Kawasaki's disease","","75053002","CPRD_AURUM"
"5095181000006111","Anti GBM - Antiglomerular basement membrane disease","","236506009","CPRD_AURUM"
"4514901000006114","PAN - Polyarteritis nodosa","","155441006","CPRD_AURUM"
"3838321000006118","Allergic granulomatosis angiitis","","82275008","CPRD_AURUM"
"6206421000006115","Acquired aortoarteritis","","359789008","CPRD_AURUM"
"4514891000006110","Periarteritis nodosa","","155441006","CPRD_AURUM"
"3015291000006114","Angiitis","","31996006","CPRD_AURUM"
"5141571000006118","Primary necrotising arteritis with granulomata","","239933000","CPRD_AURUM"
"6206591000006119","Takayasu disease","","359789008","CPRD_AURUM"
"6206551000006113","Sclerosing aortitis AND arteritis","","359789008","CPRD_AURUM"
"11878911000006115","EGPA - eosinophilic granulomatosis with polyangiitis","","82275008","CPRD_AURUM"
"6206401000006113","Takayasu's arteritis","","359789008","CPRD_AURUM"
"4779041000006116","Wegener granulomatosis","","195353004","CPRD_AURUM"
"6635251000006112","TA - Temporal arteritis","","400130008","CPRD_AURUM"
"5095191000006114","Goodpasture disease","","236506009","CPRD_AURUM"
"6206541000006111","Nonspecific arteritis","","359789008","CPRD_AURUM"
"6206561000006110","Nonspecific aortoarteritis","","359789008","CPRD_AURUM"
"3720201000006118","Kawasaki syndrome","","75053002","CPRD_AURUM"
