"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"61797015","Guttate psoriasis","M161600","37042000","165761","CPRD_AURUM"
"251784017","H/O: psoriasis","14F2.00","161562002","81883","CPRD_AURUM"
"308733019","Psoriasis annularis","M161100","200962007","846","CPRD_AURUM"
"308735014","Psoriasis diffusa","M161300","200964008","938","CPRD_AURUM"
"308739015","Psoriasis geographica","M161500","200966005","88","CPRD_AURUM"
"308744010","Psoriasis palmaris","M161A00","200970002","6512","CPRD_AURUM"
"308745011","Psoriasis plantaris","M161B00","200971003","8682","CPRD_AURUM"
"308747015","Pustular psoriasis","M161D00","200973000","31636","CPRD_AURUM"
"308749017","Psoriasis universalis","M161E00","200974006","297","CPRD_AURUM"
"308752013","Erythrodermic psoriasis","M161H00","200977004","3017","CPRD_AURUM"
"357623013","Scalp psoriasis","M16y000","238608008","153560","CPRD_AURUM"
"483572016","Palmoplantar pustular psoriasis","M166.00","27520001","8245","CPRD_AURUM"
"905681000006112","[RFC] Psoriasis","","905681000006108","1009","CPRD_AURUM"
"1629311000006117","Chronic large plaque psoriasis","M161F11","402307000","20408","CPRD_AURUM"
"308731017","Other psoriasis","M161.00","9014002","8682","CPRD_AURUM"
"308753015","Psoriasis NOS","M161z00","9014002","1777722","CPRD_AURUM"
"308775018","Other psoriasis and similar disorders","M16y.00","399937000","1193","CPRD_AURUM"
"308776017","Psoriasis and similar disorders NOS","M16z.00","9014002","80034","CPRD_AURUM"
"309331014","[X]Other psoriasis","Myu3000","9014002","3139","CPRD_AURUM"
"198791000006112","Psoriasis discoidea","M161400","200965009","6489","CPRD_AURUM"
"198841000006110","Psoriasis ostracea","M161900","200969003","14","CPRD_AURUM"
"2239001000000113","Psoriasis area and severity index","38Gg.00","866341000000101","1481","CPRD_AURUM"
"4541291000006118","History of psoriasis","","161562002","0","CPRD_AURUM"
"4805951000006112","Psoriasis vulgaris & (Chronic large plaque psoriasis)","","200975007","3","CPRD_AURUM"
"4805991000006118","Exfoliative dermatitis due to psoriasis","","200977004","4","CPRD_AURUM"
"2941391000006114","Pustular psoriasis of the palms AND/OR soles","","27520001","0","CPRD_AURUM"
"8300801000006110","Psoriasis area and severity index score","","866341000000101","0","CPRD_AURUM"
"4805881000006111","Ostraceous psoriasis","","200969003","0","CPRD_AURUM"
"8300811000006113","PASI (psoriasis area and severity index) score","","866341000000101","12","CPRD_AURUM"
"4805831000006110","Discoid psoriasis","","200965009","6","CPRD_AURUM"
"5123861000006113","Inverse psoriasis","","238600001","0","CPRD_AURUM"
"4805871000006113","Rupioid psoriasis","","200969003","9","CPRD_AURUM"
"4805821000006112","Nummular psoriasis","","200965009","3","CPRD_AURUM"
"3096771000006113","Psoriasis guttata","","37042000","0","CPRD_AURUM"
"4805981000006116","Exfoliative psoriasis","","200977004","0","CPRD_AURUM"
"1887571000006111","Flexural psoriasis","M161J00","238600001","3847","CPRD_AURUM"
"357612014","Flexural psoriasis","","238600001","6","CPRD_AURUM"
"308740018","Psoriasis gyrata","M161700","200967001","11","CPRD_AURUM"
"308746012","Psoriasis punctata","M161C00","200972005","174","CPRD_AURUM"
"308732012","Psoriasis unspecified","M161000","9014002","295502","CPRD_AURUM"
"2555281000006114","Acute palmoplantar pustular psoriasis","","3533007","30","CPRD_AURUM"
"2941481000006119","Pustular psoriasis of palms and soles","","27520001","0","CPRD_AURUM"
"308734013","Psoriasis circinata","M161200","200963002","433","CPRD_AURUM"
"308750017","Psoriasis vulgaris","M161F00","200975007","8799","CPRD_AURUM"
"2941451000006110","Chronic palmoplantar pustular psoriasis","","27520001","1","CPRD_AURUM"
"5139461000006110","Juvenile psoriatic arthritis with psoriasis","","239803008","101","CPRD_AURUM"
"308725015","Psoriasis and similar disorders","M16..00","9014002","522216","CPRD_AURUM"
"1583831000006118","Chronic large plaque psoriasis","","1583831000006102","2399","CPRD_AURUM"
"10111000033114","Psoriasis And Eczema","","10111000033105","0","CPRD_AURUM"
"308741019","Psoriasis inveterata","M161800","200968006","56","CPRD_AURUM"
