"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"1266","Pulmonary embolism","G401.00",,"157732","CPRD_GOLD"
"4717","Pulmonary infarct","G402.00",,"1073","CPRD_GOLD"
"7174","Obstetric pulmonary embolism","L43..00",,"295","CPRD_GOLD"
"9701","Pulmonary embolus","G401.12",,"14591","CPRD_GOLD"
"10280","H/O: pulmonary embolus","14AC.00",,"1568","CPRD_GOLD"
"16976","[V] Personal history of pulmonary embolism","ZV12900",,"1159","CPRD_GOLD"
"18121","Post operative pulmonary embolus","G401000",,"1421","CPRD_GOLD"
"24444","Infarction - pulmonary","G401.11",,"195","CPRD_GOLD"
"34687","Trendelenburg pulmonary embolectomy","7A09311",,"192","CPRD_GOLD"
"44404","Obstetric pulmonary embolism NOS with postnatal complication","L43z400",,"17","CPRD_GOLD"
"45740","Open embolectomy of pulmonary artery","7A09300",,"124","CPRD_GOLD"
"49269","Obstetric blood-clot pulmonary embolism","L432.00",,"3","CPRD_GOLD"
"65459","Percutaneous transluminal embolectomy of pulmonary artery","7A0A100",,"17","CPRD_GOLD"
"67006","Pulmonary embolism following abortive pregnancy","L096400",,"9","CPRD_GOLD"
"68438","Obstetric pulmonary embolus","L43..11",,"27","CPRD_GOLD"
"73569","Obstetric pulmonary embolism NOS","L43z.00",,"6","CPRD_GOLD"
"89238","Pulmonary thromboendarterectomy","7A0B000",,"94","CPRD_GOLD"
"96209","Recurrent pulmonary embolism","G401100",,"301","CPRD_GOLD"
"97367","Obstetric pulmonary embolism NOS - delivered","L43z100",,"3","CPRD_GOLD"
"98639","Obstetric pulmonary embolism NOS","L43zz00",,"6","CPRD_GOLD"
"101944","Obstetric pulmonary embolism NOS, unspecified","L43z000",,"2","CPRD_GOLD"
"109337","Other obstetric pulmonary embolism NOS","L43yz00",,"1","CPRD_GOLD"
"112578","Obstetric blood-clot pulmonary embolism + a/n complication","L432300",,"4","CPRD_GOLD"
"112710","Obstetric blood-clot pulmonary embolism NOS","L432z00",,"2","CPRD_GOLD"
"113599","Obstetric blood-clot pulmonary embolism unspecified","L432000",,"1","CPRD_GOLD"
"114089","Other obstetric pulmonary embolism","L43y.00",,"1","CPRD_GOLD"
