"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"7B00.00","Transplantation of kidney","7B00.00","","IMRD"
"7B00000","Autotransplant of kidney","7B00000","","IMRD"
"7B00100","Transplantation of kidney from live donor","7B00100","","IMRD"
"7B00111","Allotransplantation of kidney from live donor","7B00111","","IMRD"
"7B00200","Transplantation of kidney from cadaver","7B00200","","IMRD"
"7B00211","Allotransplantation of kidney from cadaver","7B00211","","IMRD"
"7B00212","Cadaveric renal transplant","7B00212","","IMRD"
"7B00300","Allotransplantation of kidney from cadaver, heart-beating","7B00300","","IMRD"
"7B00400","Allotransplantation kidney from cadaver, heart non-beating","7B00400","","IMRD"
"7B00500","Allotransplantation of kidney from cadaver NEC","7B00500","","IMRD"
"7B00600","Xenograft renal transplant","7B00600","","IMRD"
"7B00y00","Other specified transplantation of kidney","7B00y00","","IMRD"
"7B00z00","Transplantation of kidney NOS","7B00z00","","IMRD"
"7B01500","Transplant nephrectomy","7B01500","","IMRD"
"7B01511","Excision of rejected transplanted kidney","7B01511","","IMRD"
"7B01900","Excision of rejected transplanted kidney","7B01900","","IMRD"
"7B06300","Exploration of renal transplant","7B06300","","IMRD"
"7B0F.00","Interventions associated with transplantation of kidney","7B0F.00","","IMRD"
"7B0F300","Post-transplantation of kidney examination, recipient","7B0F300","","IMRD"
"7B0F400","Post-transplantation of kidney examination, live donor","7B0F400","","IMRD"
"7B0Fy00","OS interventions associated with transplantation of kidney","7B0Fy00","","IMRD"
"7B0Fz00","Interventions associated with transplantation of kidney NOS","7B0Fz00","","IMRD"
"7L02000","Autotransplantation adrenal medulla to caudate nucleus brain","7L02000","","IMRD"
"K0B5.00","Renal tubulo-interstitial disordrs in transplant rejectn","K0B5.00","","IMRD"
"Kyu1C00","[X]Renal tubulo-interstitial disorders/transplant rejection","Kyu1C00","","IMRD"
"SP08300","Kidney transplant failure and rejection","SP08300","","IMRD"
"SP08a00","Thrombosis of vein of transplanted kidney","SP08a00","","IMRD"
"SP08C00","Accelerated rejection of renal transplant","SP08C00","","IMRD"
"SP08D00","Acute-on-chronic rejection of renal transplant","SP08D00","","IMRD"
"SP08E00","Acute rejection of renal transplant - grade I","SP08E00","","IMRD"
"SP08F00","Acute rejection of renal transplant - grade II","SP08F00","","IMRD"
"SP08G00","Acute rejection of renal transplant - grade III","SP08G00","","IMRD"
"SP08H00","Acute rejection of renal transplant","SP08H00","","IMRD"
"SP08J00","Chronic rejection of renal transplant","SP08J00","","IMRD"
"SP08J11","Chronic transplant nephropathy","SP08J11","","IMRD"
"SP08K00","Chronic rejection of renal transplant - grade 1","SP08K00","","IMRD"
"SP08L00","Chronic rejection of renal transplant - grade II","SP08L00","","IMRD"
"SP08M00","Chronic rejection of renal transplant - grade III","SP08M00","","IMRD"
"SP08N00","Unexplained episode of renal transplant dysfunction","SP08N00","","IMRD"
"SP08P00","Stenosis of vein of transplanted kidney","SP08P00","","IMRD"
"SP08Q00","Aneurysm of artery of transplanted kidney","SP08Q00","","IMRD"
"SP08R00","Renal transplant rejection","SP08R00","","IMRD"
"SP08S00","Aneurysm of vein of transplanted kidney","SP08S00","","IMRD"
"SP08T00","Urological complication of renal transplant","SP08T00","","IMRD"
"SP08V00","Very mild acute rejection of renal transplant","SP08V00","","IMRD"
"SP08W00","Vascular complication of renal transplant","SP08W00","","IMRD"
"SP08X00","Rupture of artery of transplanted kidney","SP08X00","","IMRD"
"SP08Y00","Rupture of vein of transplanted kidney","SP08Y00","","IMRD"
"SP08Z00","Thrombosis of artery of transplanted kidney","SP08Z00","","IMRD"
"TB00100","Kidney transplant with complication, without blame","TB00100","","IMRD"
"TB00111","Renal transplant with complication, without blame","TB00111","","IMRD"
"ZV42000","[V]Kidney transplanted","ZV42000","","IMRD"
