"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"576","Acute schizophrenic episode","E104.00",,"1409","CPRD_GOLD"
"854","Schizophrenic disorders","E10..00",,"73469","CPRD_GOLD"
"1494","Paranoid schizophrenia","E103.00",,"35854","CPRD_GOLD"
"2117","Schizo-affective schizophrenia","E107.00",,"8517","CPRD_GOLD"
"3984","Chronic schizophrenic","E100200",,"4626","CPRD_GOLD"
"8407","Schizophrenia NOS","E10z.00",,"18736","CPRD_GOLD"
"9281","Paranoid schizophrenia NOS","E103z00",,"563","CPRD_GOLD"
"10575","Schizo-affective schizophrenia NOS","E107z00",,"334","CPRD_GOLD"
"11778","[X]Acute schizophrenia-like psychotic disorder","Eu23200",,"197","CPRD_GOLD"
"15733","Unspecified schizophrenia","E100000",,"3677","CPRD_GOLD"
"16764","[X]Paranoid schizophrenia","Eu20000",,"2642","CPRD_GOLD"
"17281","[X]Schizophrenia, schizotypal and delusional disorders","Eu2..00",,"2072","CPRD_GOLD"
"19345","Psychosis, schizophrenia + bipolar affective disord resolved","212T.00",,"2488","CPRD_GOLD"
"20785","[X]Post-schizophrenic depression","Eu20400",,"66","CPRD_GOLD"
"21986","[X]Organic delusional [schizophrenia-like] disorder","Eu05200",,"1356","CPRD_GOLD"
"22104","[V]Personal history of schizophrenia","ZV11000",,"1378","CPRD_GOLD"
"23616","Subchronic schizophrenia","E100100",,"291","CPRD_GOLD"
"24107","[X]Chronic undifferentiated schizophrenia","Eu20511",,"680","CPRD_GOLD"
"25546","Catatonic schizophrenia","E102.00",,"359","CPRD_GOLD"
"26143","[X]Cycloid psychosis with symptoms of schizophrenia","Eu23112",,"18","CPRD_GOLD"
"30619","Hebephrenic schizophrenia","E101.00",,"485","CPRD_GOLD"
"31362","Chronic paranoid schizophrenia","E103200",,"395","CPRD_GOLD"
"31493","[X]Schizophrenic flexibilatis cerea","Eu20214",,"2","CPRD_GOLD"
"31877","[X]Schizophrenia-like psychosis in epilepsy","Eu05212",,"69","CPRD_GOLD"
