"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"297645018","Myopathy due to Sjogren's disease","F396700","193253000","644","CPRD_AURUM"
"444889012","Keratoconjunctivitis sicca","N002.11","302896008","3545","CPRD_AURUM"
"5912751000006118","KCS - Keratoconjunctivitis sicca","","302896008","0","CPRD_AURUM"
"4770971000006116","Myopathy due to Sjögren's disease","","193253000","1","CPRD_AURUM"
"3865081000006116","Sjogrens syndrome","","83901003","7","CPRD_AURUM"
"4782481000006115","Lung disease with Sjögren disease","","196137000","1","CPRD_AURUM"
"3865031000006117","Sjögren's syndrome","","83901003","862","CPRD_AURUM"
"3865051000006112","Sjögren's disease","","83901003","1","CPRD_AURUM"
"3865061000006114","Sjogren's syndrome","","83901003","29","CPRD_AURUM"
"141091000006112","Sicca (Sjogren's) syndrome","N002.00","83901003","93186","CPRD_AURUM"
"4771001000006119","Myopathy due to Sjogrens disease","","193253000","0","CPRD_AURUM"
"3865071000006119","Sjögren syndrome","","83901003","12","CPRD_AURUM"
"301720019","Lung disease with Sjogren's disease","H57y300","196137000","431","CPRD_AURUM"
"4782461000006113","Lung disease with Sjögren's disease","","196137000","0","CPRD_AURUM"
"4770991000006115","Myopathy due to Sjögren disease","","193253000","0","CPRD_AURUM"
