"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"1425000","H/O Malignant melanoma","1425000",,"3217","IMRD"
"4M70.00","Clark melanoma level 1","4M70.00",,"1","IMRD"
"4M71.00","Clark melanoma level 2","4M71.00",,"3","IMRD"
"4M72.00","Clark melanoma level 3","4M72.00",,"2","IMRD"
"4M73.00","Clark melanoma level 4","4M73.00",,"1","IMRD"
"4M74.00","Clark melanoma level 5","4M74.00",,"1","IMRD"
"7G03J00","Excision of melanoma","7G03J00",,"7333","IMRD"
"7G03K00","Excision malignant skin tumour","7G03K00",,"1967","IMRD"
"7G05600","Excision biopsy of rodent ulcer","7G05600",,"1874","IMRD"
"B3...00","Malig neop of bone, connective tissue, skin and breast","B3...00",,"2331","IMRD"
"B3...11","Carcinoma of bone, connective tissue, skin and breast","B3...11",,"1451","IMRD"
"B310400","Malignant neoplasm of tarsus of eyelid","B310400",,"10","IMRD"
"B32..00","Malignant melanoma of skin","B32..00",,"38812","IMRD"
"B320.00","Malignant melanoma of lip","B320.00",,"19","IMRD"
"B321.00","Malignant melanoma of eyelid including canthus","B321.00",,"41","IMRD"
"B322.00","Malignant melanoma of ear and external auricular canal","B322.00",,"56","IMRD"
"B322000","Malignant melanoma of auricle (ear)","B322000",,"53","IMRD"
"B322100","Malignant melanoma of external auditory meatus","B322100",,"2","IMRD"
"B322z00","Malignant melanoma of ear and external auricular canal NOS","B322z00",,"8","IMRD"
"B323.00","Malignant melanoma of other and unspecified parts of face","B323.00",,"93","IMRD"
"B323000","Malignant melanoma of external surface of cheek","B323000",,"151","IMRD"
"B323100","Malignant melanoma of chin","B323100",,"10","IMRD"
"B323200","Malignant melanoma of eyebrow","B323200",,"8","IMRD"
"B323300","Malignant melanoma of forehead","B323300",,"40","IMRD"
"B323400","Malignant melanoma of external surface of nose","B323400",,"49","IMRD"
"B323500","Malignant melanoma of temple","B323500",,"30","IMRD"
"B323z00","Malignant melanoma of face NOS","B323z00",,"114","IMRD"
"B324.00","Malignant melanoma of scalp and neck","B324.00",,"238","IMRD"
"B324000","Malignant melanoma of scalp","B324000",,"131","IMRD"
"B324100","Malignant melanoma of neck","B324100",,"159","IMRD"
"B324z00","Malignant melanoma of scalp and neck NOS","B324z00",,"7","IMRD"
"B325.00","Malignant melanoma of trunk (excluding scrotum)","B325.00",,"359","IMRD"
"B325000","Malignant melanoma of axilla","B325000",,"66","IMRD"
"B325100","Malignant melanoma of breast","B325100",,"818","IMRD"
"B325200","Malignant melanoma of buttock","B325200",,"20","IMRD"
"B325300","Malignant melanoma of groin","B325300",,"81","IMRD"
"B325400","Malignant melanoma of perianal skin","B325400",,"6","IMRD"
"B325500","Malignant melanoma of perineum","B325500",,"5","IMRD"
"B325600","Malignant melanoma of umbilicus","B325600",,"5","IMRD"
"B325700","Malignant melanoma of back","B325700",,"521","IMRD"
"B325800","Malignant melanoma of chest wall","B325800",,"108","IMRD"
"B325z00","Malignant melanoma of trunk, excluding scrotum, NOS","B325z00",,"70","IMRD"
"B326.00","Malignant melanoma of upper limb and shoulder","B326.00",,"277","IMRD"
"B326000","Malignant melanoma of shoulder","B326000",,"194","IMRD"
"B326100","Malignant melanoma of upper arm","B326100",,"262","IMRD"
"B326200","Malignant melanoma of fore-arm","B326200",,"235","IMRD"
"B326300","Malignant melanoma of hand","B326300",,"28","IMRD"
"B326400","Malignant melanoma of finger","B326400",,"23","IMRD"
"B326500","Malignant melanoma of thumb","B326500",,"26","IMRD"
"B326z00","Malignant melanoma of upper limb or shoulder NOS","B326z00",,"33","IMRD"
"B327.00","Malignant melanoma of lower limb and hip","B327.00",,"548","IMRD"
"B327000","Malignant melanoma of hip","B327000",,"10","IMRD"
"B327100","Malignant melanoma of thigh","B327100",,"313","IMRD"
"B327200","Malignant melanoma of knee","B327200",,"77","IMRD"
"B327300","Malignant melanoma of popliteal fossa area","B327300",,"14","IMRD"
"B327400","Malignant melanoma of lower leg","B327400",,"591","IMRD"
"B327500","Malignant melanoma of ankle","B327500",,"69","IMRD"
"B327600","Malignant melanoma of heel","B327600",,"17","IMRD"
"B327700","Malignant melanoma of foot","B327700",,"121","IMRD"
"B327800","Malignant melanoma of toe","B327800",,"62","IMRD"
