"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"449935012","Admission to stroke unit","8Hd6.00","306803007","1085","CPRD_AURUM"
"451371010","H/O: Stroke in last year","14AK.00","308067002","760","CPRD_AURUM"
"306621000000116","Seen in stroke clinic","9N0p.00","201501000000108","170600","CPRD_AURUM"
"907581000006119","[RFC] Stroke/CVA","","907581000006103","964","CPRD_AURUM"
"968341000006116","Annual Stroke/CVA blood test","","968341000006100","749","CPRD_AURUM"
"2126181000000114","Stroke annual review","662e.11","699270006","7435","CPRD_AURUM"
"405339016","Stroke and cerebrovascular accident unspecified","G66..00","230690007","881898","CPRD_AURUM"
"1227591017","[V]Personal history of stroke","ZV12511","275526006","17135","CPRD_AURUM"
"524511000006116","Brain stem stroke syndrome","G663.00","195212005","6761","CPRD_AURUM"
"605491000006113","CVA - Cerebrovascular accident unspecified","G66..13","230690007","171976","CPRD_AURUM"
"809421000006116","H/O: CVA/stroke","14A7.00","275526006","117343","CPRD_AURUM"
"1227592012","[V]Personal history of cerebrovascular accident (CVA)","ZV12512","266995000","1048","CPRD_AURUM"
"6837051000006119","Basal ganglion stroke","","413102000","3","CPRD_AURUM"
"4057041000006110","Brain stem stroke","","95457000","1","CPRD_AURUM"
"4778201000006118","Right sided cerebral hemisphere cerebrovascular accident","","195217004","2285","CPRD_AURUM"
"4778181000006119","Left sided cerebral hemisphere cerebrovascular accident","","195216008","2661","CPRD_AURUM"
"8195421000006116","Cerebrovascular accident (CVA) 6 month review","","519751000000106","0","CPRD_AURUM"
"8195431000006118","Stroke/cerebrovascular accident 6 month review","","519751000000106","1","CPRD_AURUM"
"5011161000006115","Lacunar stroke","","230698000","31","CPRD_AURUM"
"884521000006115","Stroke/CVA - undefined","G66..98","685631000000102","24246","CPRD_AURUM"
"122401000006115","Stroke unspecified","G66..12","230690007","84220","CPRD_AURUM"
"5010981000006119","Stroke","","230690007","2545","CPRD_AURUM"
"907591000006116","[RFC] Stroke","","907591000006100","1088","CPRD_AURUM"
"908801000006114","[RFC] Stroke","","908801000006105","20181","CPRD_AURUM"
"1160471000000111","Stroke 6 month review","662M100","519751000000106","3726","CPRD_AURUM"
"2476091017","H/O: stroke","14A7.12","275526006","28378","CPRD_AURUM"
"300366019","Cerebellar stroke syndrome","G664.00","195213000","6989","CPRD_AURUM"
"605501000006117","CVA unspecified","G66..11","230690007","416247","CPRD_AURUM"
"7519441000006112","Cerebrovascular accident annual review","","699270006","563","CPRD_AURUM"
"12727691000006117","Stroke and cerebrovascular accident unspecified","","685631000000102","0","CPRD_AURUM"
"884531000006117","Stroke","G66..99","685631000000102","10341","CPRD_AURUM"
"8221321000006118","Stroke and TIA","","720191000000104","5","CPRD_AURUM"
"8265471000006116","Acute stroke care","","817701000000103","1","CPRD_AURUM"
"5960971000006110","Seen by stroke service","","306810001","103","CPRD_AURUM"
"9912271000006112","Cerebellar stroke","","16371781000119100","3","CPRD_AURUM"
