"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"64025010","Hallucinogen dependence","E245.00","38247002","172","CPRD_AURUM"
"251627017","H/O: drug dependency","1463.00","161467005","56447","CPRD_AURUM"
"295145018","Drug dependence","E24..00","191816009","1043140","CPRD_AURUM"
"295154015","Continuous opioid dependence","E240100","191819002","28564","CPRD_AURUM"
"295169019","Hypnotic or anxiolytic dependence, episodic","E241200","191826002","394","CPRD_AURUM"
"295170018","Hypnotic or anxiolytic dependence in remission","E241300","191827006","195","CPRD_AURUM"
"295172014","Cocaine type drug dependence","E242.00","191829009","27000","CPRD_AURUM"
"295188014","Cannabis dependence, continuous","E243100","191837001","7056","CPRD_AURUM"
"295189018","Cannabis dependence, episodic","E243200","191838006","1630","CPRD_AURUM"
"295190010","Cannabis dependence in remission","E243300","191839003","584","CPRD_AURUM"
"295198015","Amphetamine or psychostimulant dependence, continuous","E244100","191843004","577","CPRD_AURUM"
"295199011","Amphetamine or psychostimulant dependence, episodic","E244200","191844005","456","CPRD_AURUM"
"295208019","Hallucinogen dependence, continuous","E245100","191849000","7","CPRD_AURUM"
"295209010","Hallucinogen dependence, episodic","E245200","191850000","56","CPRD_AURUM"
"295210017","Hallucinogen dependence in remission","E245300","191851001","10","CPRD_AURUM"
"295212013","Glue sniffing dependence","E246.00","191853003","2836","CPRD_AURUM"
"295215010","Glue sniffing dependence, continuous","E246100","191855005","50","CPRD_AURUM"
"295216011","Glue sniffing dependence, episodic","E246200","191856006","674","CPRD_AURUM"
"295217019","Glue sniffing dependence in remission","E246300","191857002","36","CPRD_AURUM"
"295228015","Combined opioid with other drug dependence","E248.00","191865004","5664","CPRD_AURUM"
"295231019","Combined opioid with other drug dependence, episodic","E248200","191868002","218","CPRD_AURUM"
"295232014","Combined opioid with other drug dependence in remission","E248300","191869005","108","CPRD_AURUM"
"295234010","Combined drug dependence, excluding opioids","E249.00","191871005","693","CPRD_AURUM"
"295261010","Nondependent cannabis abuse","E252.00","191891003","34586","CPRD_AURUM"
"295263013","Nondependent cannabis abuse, continuous","E252100","191893000","646","CPRD_AURUM"
