"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"460","Benzodiazepine dependence","E241.13",,"68801","CPRD_GOLD"
"689","Heroin dependence","E240.11",,"68212","CPRD_GOLD"
"1588","Misuse of drugs NOS","E25z.00",,"75515","CPRD_GOLD"
"3222","Detoxification dependence drug","8BA9.00",,"25765","CPRD_GOLD"
"3635","Nondependent cannabis abuse","E252.00",,"19688","CPRD_GOLD"
"4701","H/O: drug dependency","1463.00",,"25857","CPRD_GOLD"
"5105","Drug dependence","E24..00",,"178303","CPRD_GOLD"
"5203","Glue sniffing dependence","E246.00",,"2436","CPRD_GOLD"
"5610","Nondependent hallucinogen abuse","E253.00",,"272","CPRD_GOLD"
"6988","[V]Drug use","ZV4K100",,"10207","CPRD_GOLD"
"7747","Nondependent abuse of drugs","E25..00",,"8946","CPRD_GOLD"
"8284","Cannabis type drug dependence","E243.00",,"10362","CPRD_GOLD"
"8490","Drug user","13c..00",,"24332","CPRD_GOLD"
"8608","Analgesic abuse","E25y.11",,"1312","CPRD_GOLD"
"9024","Drug dependence therapy","8B23.13",,"3838","CPRD_GOLD"
"10656","[X]Men & behav disorder multiple drug use/psychoactive subst","Eu19.00",,"464","CPRD_GOLD"
"10860","Nondependent cocaine abuse","E256.00",,"3159","CPRD_GOLD"
"10903","Laxative abuse","E25y.12",,"1895","CPRD_GOLD"
"11840","Cocaine type drug dependence","E242.00",,"5454","CPRD_GOLD"
"12651","H/O: drug abuse","146F.00",,"19201","CPRD_GOLD"
"14809","Combined drug dependence, excluding opioids","E249.00",,"692","CPRD_GOLD"
"16161","Nondependent other drug abuse","E25y.00",,"825","CPRD_GOLD"
"16243","Opioid type drug dependence","E240.00",,"50869","CPRD_GOLD"
"16374","Methadone dependence","E240.12",,"16451","CPRD_GOLD"
"18210","Diazepam dependence","E241.14",,"4727","CPRD_GOLD"
"18285","Tranquilliser abuse","E254.14",,"193","CPRD_GOLD"
"20962","Episodic opioid dependence","E240200",,"156","CPRD_GOLD"
"21087","Ecstasy type drug dependence","E24A.00",,"740","CPRD_GOLD"
"21096","[V]Personal history of psychoactive substance abuse","ZV11400",,"1633","CPRD_GOLD"
"21683","LSD dependence","E245.11",,"180","CPRD_GOLD"
"22059","Morphine dependence","E240.13",,"526","CPRD_GOLD"
"22079","Injecting drug user","13c0.00",,"5887","CPRD_GOLD"
"22186","Amphetamine or other psychostimulant dependence","E244.00",,"4976","CPRD_GOLD"
"22481","Nondependent amphetamine or other psychostimulant abuse","E257.00",,"1595","CPRD_GOLD"
"22675","H/O: recreational drug use","146E.00",,"6202","CPRD_GOLD"
"22730","Steroid abuse","E25y.13",,"879","CPRD_GOLD"
"23436","Barbiturate dependence","E241.12",,"331","CPRD_GOLD"
"23712","Hemp dependence","E243.12",,"4","CPRD_GOLD"
"24379","[X]Abuse of steroids or hormones","Eu55.13",,"238","CPRD_GOLD"
"24441","Opioid drug dependence NOS","E240z00",,"7507","CPRD_GOLD"
"24616","Cannabis dependence, unspecified","E243000",,"901","CPRD_GOLD"
"24637","[X]Ment/behav dis mlti drug use/oth psyc sbs: psychotc dis","Eu19500",,"134","CPRD_GOLD"
"24998","Other specified drug dependence, continuous","E247100",,"47","CPRD_GOLD"
"25175","Misuse of prescription only drugs","E259400",,"2069","CPRD_GOLD"
"25229","Nondependent amphetamine or psychostimulant abuse, episodic","E257200",,"37","CPRD_GOLD"
"25344","Hypnotic or anxiolytic dependence","E241.00",,"8990","CPRD_GOLD"
"25448","Nondependent cannabis abuse, episodic","E252200",,"396","CPRD_GOLD"
"25526","Nondependent cannabis abuse NOS","E252z00",,"455","CPRD_GOLD"
"25646","Amphetamine or psychostimulant dependence NOS","E244z00",,"366","CPRD_GOLD"
"25670","Stimulant dependence","E244.12",,"51","CPRD_GOLD"
"25748","Cocaine dependence, continuous","E242100",,"110","CPRD_GOLD"
"25808","Cocaine dependence, unspecified","E242000",,"373","CPRD_GOLD"
"26061","Combined opioid with other drug dependence","E248.00",,"566","CPRD_GOLD"
"26208","Hypnotic or anxiolytic dependence, continuous","E241100",,"463","CPRD_GOLD"
"26831","Nondependent opioid abuse","E255.00",,"2109","CPRD_GOLD"
"27960","Opioid dependence in remission","E240300",,"207","CPRD_GOLD"
"28642","Substance misuse increased","13c5.00",,"619","CPRD_GOLD"
"28766","Persistent substance misuse","13cH.00",,"2466","CPRD_GOLD"
"29075","Barbiturate abuse","E254.11",,"67","CPRD_GOLD"
"29446","Drug dependence NOS","E24z.00",,"14518","CPRD_GOLD"
"29797","Hypnotic or anxiolytic dependence NOS","E241z00",,"645","CPRD_GOLD"
"30251","Intravenous drug user","13c1.00",,"4233","CPRD_GOLD"
"30311","Neonat withdrawal symptom from mat use of drug of addiction","Q485000",,"663","CPRD_GOLD"
"30481","[X]Abuse of non-dependence-producing substances","Eu55.00",,"576","CPRD_GOLD"
"30598","Opiate dependence detoxification","8BAd.00",,"3884","CPRD_GOLD"
"30679","Drug dependence home detoxification","8BAX.00",,"583","CPRD_GOLD"
"30711","[V]Personal history of drug abuse by injection","ZV11500",,"823","CPRD_GOLD"
"31018","[X]Abuse of vitamins","Eu55.14",,"93","CPRD_GOLD"
"31862","Librium dependence","E241.15",,"42","CPRD_GOLD"
"32653","Drug dependence self detoxification","8BAW.00",,"184","CPRD_GOLD"
"32709","Previously injecting drug user","13cJ.00",,"5722","CPRD_GOLD"
"32751","Psychostimulant abuse","E257.11",,"57","CPRD_GOLD"
"32804","Opium dependence","E240.14",,"310","CPRD_GOLD"
"32887","Hallucinogen dependence","E245.00",,"68","CPRD_GOLD"
"32931","Nondependent cocaine abuse, unspecified","E256000",,"44","CPRD_GOLD"
"33462","Cannabis drug dependence NOS","E243z00",,"587","CPRD_GOLD"
"33774","Glue sniffing dependence, episodic","E246200",,"85","CPRD_GOLD"
"33838","Nondependent mixed drug abuse NOS","E259z00",,"71","CPRD_GOLD"
"33942","Cocaine drug dependence NOS","E242z00",,"292","CPRD_GOLD"
"34115","Lifestyle advice regarding drug misuse","67H3.00",,"13404","CPRD_GOLD"
"34249","[X]Mental and behav dis due to use opioids: dependence syndr","Eu11200",,"1203","CPRD_GOLD"
"35079","Abuse of drugs to lose weight","ZC16.00",,"30","CPRD_GOLD"
"35286","Substance misuse decreased","13c6.00",,"318","CPRD_GOLD"
"35404","Reduced drugs misuse","13c8.00",,"206","CPRD_GOLD"
"35733","Anxiolytic dependence","E241.11",,"354","CPRD_GOLD"
"36223","Sedative dependence","E241.16",,"201","CPRD_GOLD"
"37130","Valium dependence","E241.17",,"376","CPRD_GOLD"
"37316","Marihuana dependence","E243.13",,"277","CPRD_GOLD"
"37472","Amphetamine or psychostimulant dependence, unspecified","E244000",,"262","CPRD_GOLD"
"38029","Misuses drugs orally","13cB.00",,"2079","CPRD_GOLD"
"38034","Unspecified opioid dependence","E240000",,"365","CPRD_GOLD"
"38072","Glue sniffing dependence, unspecified","E246000",,"169","CPRD_GOLD"
"38125","Subcutaneous drug user","13c9.00",,"9","CPRD_GOLD"
"38360","Amphetamine or psychostimulant dependence, continuous","E244100",,"116","CPRD_GOLD"
"39051","Sedative abuse","E254.13",,"38","CPRD_GOLD"
"39058","Nondependent amphetamine/psychostimulant abuse, unspecified","E257000",,"98","CPRD_GOLD"
"39836","Cocaine dependence, episodic","E242200",,"89","CPRD_GOLD"
"39983","Nondependent cannabis abuse, continuous","E252100",,"125","CPRD_GOLD"
