"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"102489017","Drop attack","G65..11","61683000","8828","CPRD_AURUM"
"145925010","Amaurosis fugax","F423600","88032003","67098","CPRD_AURUM"
"251692018","H/O: TIA","14AB.00","161511000","71190","CPRD_AURUM"
"300352012","Impending cerebral ischaemia","G65z000","195205001","134","CPRD_AURUM"
"345684012","Carotid territory transient ischaemic attack","G657.00","230716006","690","CPRD_AURUM"
"395783012","Transient ischaemic attack","G65..12","266257000","826713","CPRD_AURUM"
"395788015","Transient cerebral ischaemia","G65..00","266257000","626686","CPRD_AURUM"
"1667741000000110","[V]Personal history of transient ischaemic attack","ZV12D00","751371000000107","661","CPRD_AURUM"
"300348012","Other transient cerebral ischaemia","G65y.00","266257000","1196","CPRD_AURUM"
"95931000006111","Transient cerebral ischaemia NOS","G65z.00","266257000","14271","CPRD_AURUM"
"622321000000113","[D]Drop attack","R002700","61683000","1982","CPRD_AURUM"
"1148331000000111","Transient ischaemic attack clinical management plan","8CRB.00","736288002","945","CPRD_AURUM"
"416991000006112","[X]Other transnt cerebral ischaemic attacks+related syndroms","Fyu5500","266257000","999","CPRD_AURUM"
"5492201000006111","TIA - Transient ischaemic attack","","266257000","13","CPRD_AURUM"
"3502131000006111","Drop attacks","","61683000","3","CPRD_AURUM"
"3930501000006113","Amaurosis fugax (one sided temporary vision loss)","","88032003","0","CPRD_AURUM"
"8231151000006110","Personal history of transient ischaemic attack","","751371000000107","66","CPRD_AURUM"
"5011511000006114","Carotid territory transient ischemic attack","","230716006","0","CPRD_AURUM"
"5011491000006115","Anterior circulation transient ischaemic attack","","230716006","152","CPRD_AURUM"
"12733221000006110","Transient cerebral ischaemia NOS","","584181000000100","0","CPRD_AURUM"
"884511000006111","Transient Ischaemic Attacks","G65z.99","584181000000100","3200","CPRD_AURUM"
"1539341000006111","No H/O: TIA","","1539341000006107","333","CPRD_AURUM"
"3930471000006118","AF - Amaurosis fugax","","88032003","0","CPRD_AURUM"
"3930481000006115","AFx - Amaurosis fugax","","88032003","0","CPRD_AURUM"
"2171081000000116","H/O amaurosis fugax","14AB000","13016361000119101","903","CPRD_AURUM"
"300353019","Intermittent cerebral ischaemia","G65z100","195206000","586","CPRD_AURUM"
"300349016","Transient cerebral ischaemia NOS","G65zz00","266257000","6840","CPRD_AURUM"
"988951000006117","Transient Ischaemic Attacks","G65..99","266257000","13","CPRD_AURUM"
"9577291000006114","History of amaurosis fugax","","13016361000119101","0","CPRD_AURUM"
"5011521000006118","Vertebrobasilar territory transient ischaemic attack","","230717002","9","CPRD_AURUM"
"3645721000006118","Amaurosis","","70449006","1","CPRD_AURUM"
"9478331000006110","Amaurosis fugax of right eye","","12237951000119105","2","CPRD_AURUM"
"8196661000006116","Transient ischaemic attack monthly review","","523651000000107","1","CPRD_AURUM"
