"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"504","Transient cerebral ischaemia","G65..00","","CPRD_GOLD"
"1195","Amaurosis fugax","F423600","","CPRD_GOLD"
"1433","Transient ischaemic attack","G65..12","","CPRD_GOLD"
"1895","Transient cerebral ischaemia NOS","G65z.00","","CPRD_GOLD"
"3132","Drop attack","G65..11","","CPRD_GOLD"
"13567","H/O: TIA","14AB.00","","CPRD_GOLD"
"15788","Transient cerebral ischaemia NOS","G65zz00","","CPRD_GOLD"
"16507","Intermittent cerebral ischaemia","G65z100","","CPRD_GOLD"
"19354","Other transient cerebral ischaemia","G65y.00","","CPRD_GOLD"
"55247","Impending cerebral ischaemia","G65z000","","CPRD_GOLD"
"63746","[X]Other transnt cerebral ischaemic attacks+related syndroms","Fyu5500","","CPRD_GOLD"
"94341","[D]Drop attack","R002700","","CPRD_GOLD"
"101251","[V]Personal history of transient ischaemic attack","ZV12D00","","CPRD_GOLD"
"105202","H/O amaurosis fugax","14AB000","","CPRD_GOLD"
"105738","Carotid territory transient ischaemic attack","G657.00","","CPRD_GOLD"
