"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"378514015","Turner's phenotype, partial X deletion karyotype","PJ63612","254280007","18","CPRD_AURUM"
"491780017","Turner's syndrome","PJ63.00","38804009","16196","CPRD_AURUM"
"315803010","[X]Other variants of Turner's syndrome","PyuA500","38804009","983","CPRD_AURUM"
"400962014","Turner's syndrome NOS","PJ63z00","38804009","523","CPRD_AURUM"
"83611000006111","Turner's phenotype, karyotype 45X","PJ63100","710008008","115","CPRD_AURUM"
"83621000006115","Turner's phenotype, karyotype 46X iso (Xq)","PJ63200","205686009","32","CPRD_AURUM"
"83671000006119","Turner's phenotype, ring chromosome karyotype","PJ63611","254281006","19","CPRD_AURUM"
"83711000006115","Turner's,karyotype 46X + abnorm. sex chromosome,not iso(Xq)","PJ63300","205687000","17","CPRD_AURUM"
"83721000006111","Turner's,mosaic, 45X/other cell line with abn.sex chromosome","PJ63500","710019006","777","CPRD_AURUM"
"7662571000006118","Monosomy X","","710008008","0","CPRD_AURUM"
"3124561000006117","TS - Turner's syndrome","","38804009","0","CPRD_AURUM"
"7662621000006115","XO - Turner's syndrome","","710008008","0","CPRD_AURUM"
"5340111000006119","Turner's phenotype - ring chromosome karyotype","","254281006","0","CPRD_AURUM"
"7662641000006110","Mosaic Turner syndrome","","710010005","0","CPRD_AURUM"
"7662581000006115","45XO - Turner's syndrome","","710008008","0","CPRD_AURUM"
"378513014","Bonnevie-Ullrich syndrome NOS","PJ63z11","38804009","17","CPRD_AURUM"
"5340101000006117","Turner phenotype, partial X deletion karyotype","","254280007","0","CPRD_AURUM"
"3124531000006114","Bonnevie-Ullrich syndrome","","38804009","0","CPRD_AURUM"
"5340121000006110","Turner phenotype - ring chromosome karyotype","","254281006","0","CPRD_AURUM"
"893491000006119","Gonadal dysgenesis - Turner","PJ63.99","38804009","329","CPRD_AURUM"
"400961019","Turner's phenotype, other variant karyotypes","PJ63600","38804009","58","CPRD_AURUM"
"83641000006110","Turner's phenotype, mosaicism 45X/46XX or 45X/46XY","PJ63400","710010005","568","CPRD_AURUM"
