"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"PJ63.00","Turner's syndrome","PJ63.00",,"2942","IMRD"
"PJ63100","Turner's phenotype, karyotype 45X","PJ63100",,"25","IMRD"
"PJ63200","Turner's phenotype, karyotype 46X iso (Xq)","PJ63200",,"7","IMRD"
"PJ63300","Turner's,karyotype 46X + abnorm. sex chromosome,not iso(Xq)","PJ63300",,"6","IMRD"
"PJ63400","Turner's phenotype, mosaicism 45X/46XX or 45X/46XY","PJ63400",,"47","IMRD"
"PJ63500","Turner's,mosaic, 45X/other cell line with abn.sex chromosome","PJ63500",,"99","IMRD"
"PJ63600","Turner's phenotype, other variant karyotypes","PJ63600",,"6","IMRD"
"PJ63611","Turner's phenotype, ring chromosome karyotype","PJ63611",,"1","IMRD"
"PJ63612","Turner's phenotype, partial X deletion karyotype","PJ63612",,"2","IMRD"
"PJ63z00","Turner's syndrome NOS","PJ63z00",,"60","IMRD"
"PJ63z11","Bonnevie-Ullrich syndrome NOS","PJ63z11",,"11","IMRD"
"PyuA500","[X]Other variants of Turner's syndrome","PyuA500",,"7","IMRD"
