"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"E10","Type 1 diabetes mellitus","E10","","0","ICD10"
"E100","Type 1 diabetes mellitus","E10.0","","0","ICD10"
"E101","Type 1 diabetes mellitus","E10.1","","0","ICD10"
"E102","Type 1 diabetes mellitus","E10.2","","0","ICD10"
"E103","Type 1 diabetes mellitus","E10.3","","0","ICD10"
"E104","Type 1 diabetes mellitus","E10.4","","0","ICD10"
"E105","Type 1 diabetes mellitus","E10.5","","0","ICD10"
"E106","Type 1 diabetes mellitus","E10.6","","0","ICD10"
"E107","Type 1 diabetes mellitus","E10.7","","0","ICD10"
"E108","Type 1 diabetes mellitus","E10.8","","0","ICD10"
"E109","Type 1 diabetes mellitus","E10.9","","0","ICD10"
"O240","Diabetes mellitus in pregnancy: Pre-existing type 1 diabetes mellitus","O24.0","","0","ICD10"
