"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"197761014","Type 2 diabetes mellitus","C10F.00","44054006","19005030","CPRD_AURUM"
"264679015","Diabetic on diet only","66A3.00","170745003","1443135","CPRD_AURUM"
"292576013","Type II diabetes mellitus with multiple complications","C10F311","190388001","29","CPRD_AURUM"
"292577016","Type 2 diabetes mellitus with multiple complications","C10F300","190388001","2390","CPRD_AURUM"
"306113018","Pre-existing diabetes mellitus, non-insulin-dependent","L180600","199230006","164","CPRD_AURUM"
"459308015","Type 2 diabetes mellitus with peripheral angiopathy","C10FF00","314902007","227","CPRD_AURUM"
"459309011","Non-insulin dependent diabetes mellitus with arthropathy","C109G00","314903002","9","CPRD_AURUM"
"459310018","Type 2 diabetes mellitus with arthropathy","C10FG00","314903002","166","CPRD_AURUM"
"1223148019","Insulin treated non-insulin dependent diabetes mellitus","C109J11","237599002","997","CPRD_AURUM"
"1488898011","Hyperosmolar non-ketotic state in type 2 diabetes mellitus","C10FK00","395204000","997","CPRD_AURUM"
"1713231000006118","QDiabetes (QDScore) type 2 diabetes 10 year risk","","1713231000006102","17741","CPRD_AURUM"
"1780981000006115","Diabetic on non-insulin injectable","","1780981000006104","1292","CPRD_AURUM"
"2288071000000116","Type 2 diabetes mellitus in remission","C10P111","703138006","6869","CPRD_AURUM"
"2359401000000111","Conversion to non-insulin injectable medication","66AH300","918891000000108","2667","CPRD_AURUM"
"73466011","Non-insulin dependent diabetes mellitus","C100112","44054006","120333","CPRD_AURUM"
"292589019","Type II diabetes mellitus - poor control","C10F711","443694000","215","CPRD_AURUM"
"459167016","Type 2 diabetes mellitus with hypoglycaemic coma","C10FD00","719216001","175","CPRD_AURUM"
"84471000006119","Type 2 diabetes mellitus","C109.12","44054006","208582","CPRD_AURUM"
"84481000006116","Type 2 diabetes mellitus - poor control","C109712","443694000","1180","CPRD_AURUM"
"84491000006118","Type 2 diabetes mellitus with arthropathy","C109G12","314903002","12","CPRD_AURUM"
"84521000006116","Type 2 diabetes mellitus with hypoglycaemic coma","C109D12","719216001","25","CPRD_AURUM"
"84551000006113","Type 2 diabetes mellitus with nephropathy","C109C12","420279001","604","CPRD_AURUM"
"84601000006110","Type 2 diabetes mellitus with polyneuropathy","C109B12","713706002","13","CPRD_AURUM"
"84611000006113","Type 2 diabetes mellitus with renal complications","C109012","420279001","174","CPRD_AURUM"
"84631000006119","Type 2 diabetes mellitus with ulcer","C109412","190389009","83","CPRD_AURUM"
"84641000006112","Type 2 diabetes mellitus without complication","C109912","313436004","79","CPRD_AURUM"
"84841000006113","Type II diabetes mellitus","C109.13","44054006","50999","CPRD_AURUM"
"84861000006112","Type II diabetes mellitus with arthropathy","C109G11","314903002","3","CPRD_AURUM"
"84921000006110","Type II diabetes mellitus with nephropathy","C109C11","420279001","423","CPRD_AURUM"
"84961000006116","Type II diabetes mellitus with peripheral angiopathy","C109F11","314902007","19","CPRD_AURUM"
"84981000006114","Type II diabetes mellitus with renal complications","C109011","420279001","55","CPRD_AURUM"
"85001000006117","Type II diabetes mellitus with ulcer","C109411","190389009","57","CPRD_AURUM"
"280531000006119","Non-insulin dependent diabetes mellitus with nephropathy","C109C00","420279001","162","CPRD_AURUM"
"280551000006114","Non-insulin dependent diabetes mellitus with ulcer","C109400","190389009","297","CPRD_AURUM"
"280561000006111","Non-insulin-dependent d m with peripheral angiopath","C109F00","314902007","60","CPRD_AURUM"
"280571000006116","Non-insulin dependent diabetes mellitus","C109.00","44054006","645088","CPRD_AURUM"
"281171000006119","Non-insulin dependent diabetes mellitus - poor control","C109700","443694000","6287","CPRD_AURUM"
"281181000006116","Non-insulin dependent d m with neuropathic arthropathy","C109H00","314904008","17","CPRD_AURUM"
"641581000006115","Non-insulin-dependent diabetes mellitus with retinopathy","C109600","422034002","499","CPRD_AURUM"
"674961000006118","NIDDM with peripheral circulatory disorder","C107400","422166005","358","CPRD_AURUM"
"841351000006110","Insulin treated Type II diabetes mellitus","C109J12","237599002","1047","CPRD_AURUM"
"850691000006118","Hyperosmolar non-ketotic state in type 2 diabetes mellitus","C109K00","395204000","402","CPRD_AURUM"
