"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"4166011","Phacoanaphylactic endophthalmitis","F401400","1833005","CPRD_AURUM"
"12361010","Recurrent iridocyclitis","F440300","6869001","CPRD_AURUM"
"16007016","Gonococcal iridocyclitis","A984100","9091006","CPRD_AURUM"
"19442013","Fuchs' heterochromic cyclitis","F442000","11226001","CPRD_AURUM"
"21698018","Primary iridocyclitis","F440200","12630008","CPRD_AURUM"
"23218017","Herpes simplex iridocyclitis","A544400","13608004","CPRD_AURUM"
"50329015","Secondary syphilitic iridocyclitis","A915200","30080002","CPRD_AURUM"
"55709016","Panophthalmitis","F400200","33382000","CPRD_AURUM"
"72069017","Gouty iritis","C34y300","43193009","CPRD_AURUM"
"110078018","Secondary syphilitic chorioretinitis","A915100","66281009","CPRD_AURUM"
"125088015","Sympathetic uveitis","F401000","75315001","CPRD_AURUM"
"145575018","Hypopyon","F440600","87807004","CPRD_AURUM"
"286317012","Tuberculous chorioretinitis","A173000","186263000","CPRD_AURUM"
"286320016","Tuberculous chronic iridocyclitis","A173300","186266008","CPRD_AURUM"
"287615018","Histoplasma capsulatum with retinitis","AB40200","187039009","CPRD_AURUM"
"287636016","Histoplasmosis with retinitis","AB4z200","187058000","CPRD_AURUM"
"297898017","Disseminated posterior pole chorioretinitis","F431100","193442009","CPRD_AURUM"
"297900015","General disseminated chorioretinitis","F431300","193444005","CPRD_AURUM"
"297901016","Metastatic disseminated retinitis","F431400","193445006","CPRD_AURUM"
"297902011","Pigmented epithelial disseminated retinitis","F431500","193446007","CPRD_AURUM"
"297964010","Diabetic iritis","F440700","193489006","CPRD_AURUM"
"297979015","Harada's disease","F432400","193497004","CPRD_AURUM"
"458789018","Posterior cyclitis","F432300","314428001","CPRD_AURUM"
"1786145010","Chronic anterior uveitis","F441200","398155003","CPRD_AURUM"
"2535612016","Multifocal choroiditis","F430800","414783007","CPRD_AURUM"
"129405018","Iridocyclitis","F44..12","77971008","CPRD_AURUM"
"117050017","Lens-induced iridocyclitis","F442200","410494003","CPRD_AURUM"
"287233017","Syphilitic uveitis unspecified","A915000","410478005","CPRD_AURUM"
"287235012","Secondary syphilitic uveitis NOS","A915z00","410478005","CPRD_AURUM"
"2780151000006110","Cyclitis","","17657000","CPRD_AURUM"
"297887018","Unspecified focal chorioretinitis","F430000","15847003","CPRD_AURUM"
"297893014","Other posterior pole focal retinitis","F430600","15847003","CPRD_AURUM"
"297895019","Focal chorioretinitis or retinochoroiditis NOS","F430z00","15847003","CPRD_AURUM"
"297897010","Unspecified disseminated chorioretinitis","F431000","78769001","CPRD_AURUM"
"297903018","Disseminated chorioretinitis and retinochoroiditis NOS","F431z00","78769001","CPRD_AURUM"
"297904012","Other chorioretinitis and retinochoroiditis","F432.00","46627006","CPRD_AURUM"
"297905013","Choroiditis NOS","F432000","16553002","CPRD_AURUM"
"297907017","Posterior uveitis NOS","F432200","43363007","CPRD_AURUM"
"297913014","Other chorioretinitis or retinochoroiditis NOS","F432z00","46627006","CPRD_AURUM"
"297958015","Unspecified acute iridocyclitis","F440000","267618008","CPRD_AURUM"
"297959011","Unspecified subacute iridocyclitis","F440100","267618008","CPRD_AURUM"
"297972012","Chronic iridocyclitis NOS","F441z00","77971008","CPRD_AURUM"
"297973019","Certain types of iridocyclitis","F442.00","77971008","CPRD_AURUM"
"299456016","[X]Other iridocyclitis","FyuDC00","77971008","CPRD_AURUM"
"299461019","[X]Iridocyclitis in other diseases classified elsewhere","FyuDH00","77971008","CPRD_AURUM"
"2477006014","Chronic iritis","F441.11","314429009","CPRD_AURUM"
"62891000006110","Vogt-Koyanagi syndrome","F442300","193497004","CPRD_AURUM"
"71731000006116","Uveitis NOS","F443.11","128473001","CPRD_AURUM"
"151821000006115","Secondary noninfected iridocyclitis","F440500","193488003","CPRD_AURUM"
"394511000006113","[X]Iridocyclitis/infectious and parasitic diseases CE","FyuDG00","17657000","CPRD_AURUM"
