"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"H20","Iridocyclitis","H20","","ICD10"
"H200","Acute and subacute iridocyclitis","H20.0","","ICD10"
"H201","Chronic iridocyclitis","H20.1","","ICD10"
"H202","Lens-induced iridocyclitis","H20.2","","ICD10"
"H208","Other iridocyclitis","H20.8","","ICD10"
"H209","Iridocyclitis, unspecified","H20.9","","ICD10"
"H220","Iridocyclitis in infectious and parasitic diseases classified elsewhere","H22.0","","ICD10"
"H221","Iridocyclitis in other diseases classified elsewhere","H22.1","","ICD10"
"H30","Chorioretinal inflammation","H30","","ICD10"
"H300","Focal chorioretinal inflammation","H30.0","","ICD10"
"H301","Disseminated chorioretinal inflammation","H30.1","","ICD10"
"H302","Posterior cyclitis","H30.2","","ICD10"
"H308","Other chorioretinal inflammations","H30.8","","ICD10"
"H309","Chorioretinal inflammation, unspecified","H30.9","","ICD10"
"H320","Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere","H32.0","","ICD10"
