"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"14A8100","H/O: Deep Vein Thrombosis","14A8100",,"10841","IMRD"
"F050.00","Embolism of central nervous system venous sinus","F050.00",,"3","IMRD"
"F050.11","Embolus of central nervous system venous sinus","F050.11",,"0","IMRD"
"F050000","Embolism cavernous sinus","F050000",,"19","IMRD"
"F050100","Embolism superior longitudinal sinus","F050100",,"5","IMRD"
"F050200","Embolism lateral sinus","F050200",,"0","IMRD"
"F050300","Embolism transverse sinus","F050300",,"3","IMRD"
"F050z00","Embolism central nervous system venous sinus NOS","F050z00",,"2","IMRD"
"F051.00","Thrombosis of central nervous system venous sinuses","F051.00",,"203","IMRD"
"F051000","Thrombosis cavernous sinus","F051000",,"211","IMRD"
"F051100","Thrombosis of superior longitudinal sinus","F051100",,"35","IMRD"
"F051200","Thrombosis lateral sinus","F051200",,"56","IMRD"
"F051300","Thrombosis transverse sinus","F051300",,"126","IMRD"
"F051z00","Thrombosis of central nervous system venous sinus NOS","F051z00",,"85","IMRD"
"G676.00","Nonpyogenic venous sinus thrombosis","G676.00",,"767","IMRD"
"G676000","Cereb infarct due cerebral venous thrombosis, nonpyogenic","G676000",,"363","IMRD"
"G67A.00","Cerebral vein thrombosis","G67A.00",,"270","IMRD"
"G801.11","Deep vein thrombosis","G801.11",,"206410","IMRD"
"G801.12","Deep vein thrombosis, leg","G801.12",,"637","IMRD"
"G801.13","DVT - Deep vein thrombosis","G801.13",,"15666","IMRD"
"G801C00","Deep vein thrombosis of leg related to air travel","G801C00",,"107","IMRD"
"G801D00","Deep vein thrombosis of lower limb","G801D00",,"3139","IMRD"
"G801E00","Deep vein thrombosis of leg related to intravenous drug use","G801E00",,"76","IMRD"
"G801F00","Deep vein thrombosis of peroneal vein","G801F00",,"86","IMRD"
"G801G00","Recurrent deep vein thrombosis","G801G00",,"529","IMRD"
"G801H00","Unprovoked deep vein thrombosis","G801H00",,"263","IMRD"
"G801J00","Provoked deep vein thrombosis","G801J00",,"168","IMRD"
"G802000","Thrombosis of vein of leg","G802000",,"1813","IMRD"
"G81..00","Portal vein thrombosis","G81..00",,"1706","IMRD"
"G82..00","Other venous embolism and thrombosis","G82..00",,"334","IMRD"
"G820.00","Budd - Chiari syndrome (hepatic vein thrombosis)","G820.00",,"314","IMRD"
"G820.11","Hepatic vein thrombosis","G820.11",,"54","IMRD"
"G822.00","Embolism and thrombosis of the vena cava","G822.00",,"107","IMRD"
"G822000","Thrombosis inferior vena cava","G822000",,"107","IMRD"
"G823.00","Embolism and thrombosis of the renal vein","G823.00",,"201","IMRD"
"G824.00","Axillary vein thrombosis","G824.00",,"405","IMRD"
"G825.00","Thrombosis of subclavian vein","G825.00",,"265","IMRD"
"G826.00","Thrombosis of internal jugular vein","G826.00",,"150","IMRD"
"G827.00","Thrombosis of external jugular vein","G827.00",,"9","IMRD"
"G82z000","Embolus of vein NOS","G82z000",,"293","IMRD"
"G82z011","Embolism of vein NOS","G82z011",,"420","IMRD"
"G82z100","Thrombosis of vein NOS","G82z100",,"6579","IMRD"
"Gyu8200","[X]Embolism and thrombosis of other specified veins","Gyu8200",,"31","IMRD"
"L413.00","Antenatal deep vein thrombosis","L413.00",,"301","IMRD"
"L413.11","DVT - deep venous thrombosis, antenatal","L413.11",,"328","IMRD"
"L413000","Antenatal deep vein thrombosis unspecified","L413000",,"23","IMRD"
"L413100","Antenatal deep vein thrombosis - delivered","L413100",,"5","IMRD"
"L413200","Antenatal deep vein thrombosis with antenatal complication","L413200",,"1","IMRD"
"L413z00","Antenatal deep vein thrombosis NOS","L413z00",,"22","IMRD"
"L414.00","Postnatal deep vein thrombosis","L414.00",,"323","IMRD"
"L414.11","DVT - deep venous thrombosis, postnatal","L414.11",,"357","IMRD"
"L414000","Postnatal deep vein thrombosis unspecified","L414000",,"16","IMRD"
"L414100","Postnatal deep vein thrombosis - delivered with p/n comp","L414100",,"2","IMRD"
"L414200","Postnatal deep vein thrombosis with postnatal complication","L414200",,"16","IMRD"
"L414z00","Postnatal deep vein thrombosis NOS","L414z00",,"32","IMRD"
"L417.00","Obstetric cerebral venous thrombosis","L417.00",,"28","IMRD"
"L417000","Cerebral venous thrombosis in pregnancy","L417000",,"4","IMRD"
"L417100","Cerebral venous thrombosis in the puerperium","L417100",,"4","IMRD"
"SP08a00","Thrombosis of vein of transplanted kidney","SP08a00",,"0","IMRD"
"SP12200","Post operative deep vein thrombosis","SP12200",,"1600","IMRD"
"ZV12800","[V] Personal history deep vein thrombosis","ZV12800",,"252","IMRD"
"ZV12811","[V] Personal history DVT- deep vein thrombosis","ZV12811",,"839","IMRD"
