"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"264661019","Registered blind","6689.00","170727003","CPRD_AURUM"
"283416014","Blind rehabilitation","8F61.00","183361009","CPRD_AURUM"
"442202014","Registered partially sighted","6688.00","300994001","CPRD_AURUM"
"17791000000110","Registered partially blind","6688.11","2531000000100","CPRD_AURUM"
"308101000000115","Certificate of vision impairment","668C.00","727391000000102","CPRD_AURUM"
"736911000000111","Excluded from diabetic retinopathy screening as blind","9m08.00","374691000000100","CPRD_AURUM"
"883371000006112","Blind - both eyes","F490.99","193699007","CPRD_AURUM"
"907831000006117","[RFC] Advice/care for the blind","","907831000006101","CPRD_AURUM"
"982291000006118","Sight impairment","","982291000006102","CPRD_AURUM"
"988991000006111","Blind/low vision - both eyes","F493.99","267727004","CPRD_AURUM"
"1583901000006115","Ineligibility for diab. eye screen: Blind (screening contraind)","","1583901000006104","CPRD_AURUM"
"1779881000000115","Requires deafblind communicator guide","9NfB.00","796201000000109","CPRD_AURUM"
"2230871000000115","Uses guide dog for the blind","1a00000","862731000000105","CPRD_AURUM"
"2267571000000111","Deafblind","Fy1..12","433147009","CPRD_AURUM"
"2267601000000116","Dual sensory impairment - deafblind","Fy1..11","433147009","CPRD_AURUM"
"2440051000000118","Uses deafblind intervener","13o8J00","957031000000107","CPRD_AURUM"
"2440141000000115","Requires deafblind block alphabet interpreter","9Nfb.00","957071000000109","CPRD_AURUM"
"2440231000000116","Requires deafblind haptic communication interpreter","9Nfc.00","957111000000103","CPRD_AURUM"
"298262016","Blindness both eyes NOS","F490z00","193699007","CPRD_AURUM"
"510221000006112","Better eye: moderate VI, Lesser eye: near total VI","F491700","193719003","CPRD_AURUM"
"510241000006117","Better eye: moderate VI, Lesser eye: severe VI","F492400","193727007","CPRD_AURUM"
"510251000006115","Better eye: moderate VI, Lesser eye: total VI","F491600","193718006","CPRD_AURUM"
"510271000006113","Better eye: near total VI, Lesser eye: total VI","F490300","193703005","CPRD_AURUM"
"510291000006114","Better eye: profound VI, Lesser eye: near total VI","F490700","193707006","CPRD_AURUM"
"510311000006113","Better eye: profound VI, Lesser eye: total VI","F490600","13734003","CPRD_AURUM"
"510361000006111","Better eye: severe VI, Lesser eye: profound VI","F491400","193716005","CPRD_AURUM"
"510371000006116","Better eye: severe VI, Lesser eye: severe VI","F492200","193725004","CPRD_AURUM"
"515711000006119","Blind lead dog rehabilitation","8F62.00","29960003","CPRD_AURUM"
"515731000006113","Blind rehabilitation","8F6..11","183361009","CPRD_AURUM"
"515791000006112","Blindness and low vision","F49..00","397540003","CPRD_AURUM"
"456798010","Acquired blindness, both eyes","F490900","193709009","CPRD_AURUM"
"7973691000006117","England and Wales partially sighted certification","","2531000000100","CPRD_AURUM"
"11998221000006118","Acquired blindness of bilateral eyes","","193709009","CPRD_AURUM"
"4121051000006114","Blindness","","105597003","CPRD_AURUM"
"11998211000006114","Bilateral acquired blindness of eyes","","193709009","CPRD_AURUM"
"8262581000006110","Severe binocular visual impairment","","813871000000108","CPRD_AURUM"
"4771631000006115","Congenital retinal blindness","","193413001","CPRD_AURUM"
"11998231000006115","Acquired blindness of both eyes","","193709009","CPRD_AURUM"
"4121041000006112","Blindness AND/OR vision impairment level","","105597003","CPRD_AURUM"
"8227841000006110","CVI - certificate of vision impairment","","727391000000102","CPRD_AURUM"
"7174891000006117","Deafblindness","","433147009","CPRD_AURUM"
"2982311000006115","Lead dog for the blind training","","29960003","CPRD_AURUM"
"883391000006113","Blindness/low vision NOS","F49z.99","566991000000106","CPRD_AURUM"
"2440101000000118","Requires deafblind manual alphabet interpreter","9Nfa.00","957051000000100","CPRD_AURUM"
"2496941000000110","Uses Deafblind Manual Alphabet","13o8N00","981781000000107","CPRD_AURUM"
"1563201000000117","Registered sight impaired","668D.00","713031000000100","CPRD_AURUM"
"1564221000000111","Registered severely sight impaired","6689.11","170727003","CPRD_AURUM"
"857631000006118","Vision - blind despite any aid","","857631000006102","CPRD_AURUM"
"298286019","Legal blindness USA","F494.00","193731001","CPRD_AURUM"
"2164155010","Sight impaired","F49..14","397540003","CPRD_AURUM"
"510191000006117","Better eye: moderate VI, Lesser eye: blind, unspecified","F491500","193711000","CPRD_AURUM"
"510261000006118","Better eye: near total VI, Lesser eye: near total VI","F490400","193704004","CPRD_AURUM"
"515811000006111","Blindness, both eyes","F490.00","193699007","CPRD_AURUM"
"4771621000006118","CRB - Congenital retinal blindness","","193413001","CPRD_AURUM"
"2627081000006116","Sight impaired","","7973008","CPRD_AURUM"
"2164157019","Visual impairment","F49D.00","397540003","CPRD_AURUM"
"2619503012","Both eyes total visual impairment","F490100","193699007","CPRD_AURUM"
"510231000006110","Better eye: moderate VI, Lesser eye: profound VI","F491800","193720009","CPRD_AURUM"
"510331000006119","Better eye: severe VI, Lesser eye: blind, unspecified","F491100","193711000","CPRD_AURUM"
"510381000006118","Better eye: severe VI, Lesser eye: total VI","F491200","193714008","CPRD_AURUM"
"515781000006114","Blindness - traumatic - NOS","SJ0z.11","212141007","CPRD_AURUM"
"4773021000006113","Legal blindness (United States of America)","","193731001","CPRD_AURUM"
"2168181000000116","Severe visual impairment, binocular","F497.00","813871000000108","CPRD_AURUM"
"883361000006117","Blind/low vision - both eyes","F490.98","193699007","CPRD_AURUM"
"510301000006110","Better eye: profound VI, Lesser eye: profound VI","F490800","193708001","CPRD_AURUM"
"510351000006114","Better eye: severe VI, Lesser eye: near total VI","F491300","1909000","CPRD_AURUM"
"347842017","Acquired blindness","F49z.11","105597003","CPRD_AURUM"
"2982321000006111","Training in use of lead dog for the blind","","29960003","CPRD_AURUM"
