"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"9093013","Diabetic retinopathy","F420.00","4855003","316848","CPRD_AURUM"
"98476015","Proliferative diabetic retinopathy","F420100","59276001","79704","CPRD_AURUM"
"347657010","Diabetic maculopathy","F420400","232020009","150053","CPRD_AURUM"
"1484867016","Non proliferative diabetic retinopathy","F420600","390834004","82384","CPRD_AURUM"
"1785163015","High risk proliferative diabetic retinopathy","F420700","312907002","731","CPRD_AURUM"
"2159948010","Diabetic retinopathy 12 month review","8HBG.00","408384004","86986","CPRD_AURUM"
"2159949019","Diabetic retinopathy 6 month review","8HBH.00","408385003","2676","CPRD_AURUM"
"2159976019","O/E - left eye preproliferative diabetic retinopathy","2BBS.00","408412005","34106","CPRD_AURUM"
"2159977011","O/E - right eye proliferative diabetic retinopathy","2BBT.00","408413000","22159","CPRD_AURUM"
"2159978018","O/E - left eye proliferative diabetic retinopathy","2BBV.00","408414006","21746","CPRD_AURUM"
"856611000006114","Laser treated diabetic retinopathy","","856611000006105","3468","CPRD_AURUM"
"856621000006118","Left proliferative diabetic retinopathy","","856621000006102","41","CPRD_AURUM"
"856631000006115","Left laser treated diabetic retinopathy","","856631000006104","1906","CPRD_AURUM"
"856641000006113","Left diabetic maculopathy","","856641000006109","28","CPRD_AURUM"
"856651000006110","Left advanced diabetic retinal disease","","856651000006106","275","CPRD_AURUM"
"857031000006113","Left non-proliferative diabetic retinopathy","","857031000006109","14291","CPRD_AURUM"
"857051000006118","Left preproliferative diabetic retinopathy","","857051000006102","41","CPRD_AURUM"
"857421000006119","Right laser treated diabetic retinopathy","","857421000006103","1977","CPRD_AURUM"
"857431000006116","Right diabetic maculopathy","","857431000006100","107","CPRD_AURUM"
"857441000006114","Right advanced diabetic retinal disease","","857441000006105","263","CPRD_AURUM"
"857971000006110","Right non-proliferative diabetic retinopathy","","857971000006106","14121","CPRD_AURUM"
"297758012","Diabetic retinopathy NOS","F420z00","4855003","15009","CPRD_AURUM"
"169731000006118","Retinal abnormality - diabetes related","2BBF.00","4855003","193751","CPRD_AURUM"
"641581000006115","Non-insulin-dependent diabetes mellitus with retinopathy","C109600","422034002","499","CPRD_AURUM"
"841011000006112","High risk non proliferative diabetic retinopathy","F420800","312905005","456","CPRD_AURUM"
"938311000006112","Type I diabetes mellitus with exudative maculopathy","C10EP11","420486006","28","CPRD_AURUM"
"975261000006113","O/E - left eye stable treated prolif diabetic retinopathy","2BBl.00","414894003","2745","CPRD_AURUM"
"771411000006117","Insulin dependent diabetes mellitus with retinopathy","C108700","4855003","280","CPRD_AURUM"
"913651000006115","Insulin dependent diabetes mellitus with retinopathy","C10E712","4855003","175","CPRD_AURUM"
"2906401000006113","Diabetic retinal microaneurysm","","25412000","61","CPRD_AURUM"
"6630591000006111","Diabetic retinal venous beading","","399866003","1","CPRD_AURUM"
"2159979014","O/E - right eye diabetic maculopathy","2BBW.00","769244003","60555","CPRD_AURUM"
"2159980012","O/E - left eye diabetic maculopathy","2BBX.00","769245002","61194","CPRD_AURUM"
"6022921000006114","Diabetic macular oedema","","312912001","3467","CPRD_AURUM"
"6866901000006111","On examination - right eye stable treated proliferative diabetic retinopathy","","414910007","4","CPRD_AURUM"
"6960431000006119","Diabetic retinopathy associated with type I diabetes mellitus","","420789003","0","CPRD_AURUM"
"12332281000006119","Retinopathy co-occurrent and due to type 1 diabetes mellitus","","420789003","0","CPRD_AURUM"
"6960441000006112","Diabetes type 1 with retinopathy","","420789003","0","CPRD_AURUM"
"6761801000006113","On examination - left eye background diabetic retinopathy","","408410002","8","CPRD_AURUM"
"12189881000006112","Proliferative retinopathy with diabetes mellitus","","59276001","0","CPRD_AURUM"
"6761881000006116","On examination - left eye proliferative diabetic retinopathy","","408414006","1","CPRD_AURUM"
"12224591000006115","Advanced retinal disease with diabetes mellitus","","311782002","0","CPRD_AURUM"
"12086331000006116","Diabetic maculopathy of left eye","","769245002","104","CPRD_AURUM"
"12189891000006110","PDR - proliferative diabetic retinopathy","","59276001","7","CPRD_AURUM"
"6022931000006112","Diabetic macular edema","","312912001","5","CPRD_AURUM"
"6761781000006114","On examination - right eye background diabetic retinopathy","","408409007","4","CPRD_AURUM"
"6761821000006115","On examination - right eye preproliferative diabetic retinopathy","","408411003","1","CPRD_AURUM"
"6761861000006114","On examination - right eye proliferative diabetic retinopathy","","408413000","0","CPRD_AURUM"
"12336541000006114","Retinopathy co-occurrent and due to type 2 diabetes mellitus","","422034002","0","CPRD_AURUM"
"12085901000006119","Clinically significant macular edema of right eye due to diabetes mellitus","","769221001","0","CPRD_AURUM"
"12224821000006119","Macular edema co-occurrent and due to diabetes mellitus","","312912001","0","CPRD_AURUM"
"12221241000006112","Disorder of macula co-occurrent and due to diabetes mellitus","","232020009","0","CPRD_AURUM"
"6515451000006111","On examination - diabetic maculopathy present both eyes","","390854003","0","CPRD_AURUM"
"12189901000006114","Proliferative retinopathy co-occurrent and due to diabetes mellitus","","59276001","0","CPRD_AURUM"
"6866541000006117","On examination - left eye stable treated proliferative diabetic retinopathy","","414894003","2","CPRD_AURUM"
"12086291000006111","Maculopathy of right eye due to diabetes mellitus","","769244003","0","CPRD_AURUM"
"12331231000006110","Exudative maculopathy co-occurrent and due to type 1 diabetes mellitus","","420486006","0","CPRD_AURUM"
"6515201000006111","NPDR - Non proliferative diabetic retinopathy","","390834004","2","CPRD_AURUM"
"12224751000006117","Severe nonproliferative retinopathy co-occurrent and due to diabetes mellitus","","312905005","0","CPRD_AURUM"
"6515211000006114","BDR - Background diabetic retinopathy","","390834004","1","CPRD_AURUM"
"6982521000006119","Diabetes type 2 with retinopathy","","422034002","1","CPRD_AURUM"
"12086341000006114","Disorder of left macula co-occurrent and due to diabetes mellitus","","769245002","0","CPRD_AURUM"
"12086281000006113","Diabetic maculopathy of right eye","","769244003","90","CPRD_AURUM"
"12224761000006115","Severe NPDR (nonproliferative diabetic retinopathy)","","312905005","1","CPRD_AURUM"
"12220681000006111","Preproliferative retinopathy co-occurrent and due to diabetes mellitus","","193349004","0","CPRD_AURUM"
"12085911000006116","Clinically significant macular edema of right eye co-occurrent and due to diabetes mellitus","","769221001","0","CPRD_AURUM"
"6022721000006112","Proliferative diabetic retinopathy - high risk","","312907002","162","CPRD_AURUM"
"6982511000006110","Diabetic retinopathy associated with type II diabetes mellitus","","422034002","0","CPRD_AURUM"
"12295441000006116","Nonproliferative retinopathy co-occurrent and due to diabetes mellitus","","390834004","0","CPRD_AURUM"
"12085931000006110","Clinically significant macular oedema of left eye co-occurrent and due to diabetes mellitus","","769222008","0","CPRD_AURUM"
"12166111000006116","Retinopathy due to diabetes mellitus","","4855003","1","CPRD_AURUM"
"6977971000006119","Exudative maculopathy associated with type II diabetes mellitus","","421779007","0","CPRD_AURUM"
"4771421000006116","PPDR - Preproliferative diabetic retinopathy","","193349004","0","CPRD_AURUM"
"12085941000006117","Clinically significant macular edema of left eye co-occurrent and due to diabetes mellitus","","769222008","0","CPRD_AURUM"
"12166101000006119","Retinopathy co-occurrent and due to diabetes mellitus","","4855003","0","CPRD_AURUM"
"12086301000006112","Disorder of right macula co-occurrent and due to diabetes mellitus","","769244003","0","CPRD_AURUM"
"12220701000006114","Advanced maculopathy with diabetes mellitus","","193350004","0","CPRD_AURUM"
"12221261000006111","Maculopathy with diabetes mellitus","","232020009","0","CPRD_AURUM"
"12705011000006116","Exudative maculopathy associated with type 2 diabetes mellitus","","421779007","0","CPRD_AURUM"
"12705001000006119","Exudative maculopathy associated with type 1 diabetes mellitus","","420486006","0","CPRD_AURUM"
"84441000006110","Type 1 diabetes mellitus with retinopathy","C108712","420789003","41","CPRD_AURUM"
"84621000006117","Type 2 diabetes mellitus with retinopathy","C109612","422034002","126","CPRD_AURUM"
"84991000006112","Type II diabetes mellitus with retinopathy","C109611","422034002","136","CPRD_AURUM"
"913661000006118","Type 1 diabetes mellitus with retinopathy","C10E700","420789003","1842","CPRD_AURUM"
"913671000006113","Type I diabetes mellitus with retinopathy","C10E711","420789003","66","CPRD_AURUM"
"914161000006114","Type II diabetes mellitus with retinopathy","C10F611","422034002","76","CPRD_AURUM"
"938301000006114","Type 1 diabetes mellitus with exudative maculopathy","C10EP00","420486006","384","CPRD_AURUM"
"938331000006118","Type II diabetes mellitus with exudative maculopathy","C10FQ11","421779007","120","CPRD_AURUM"
"938321000006116","Type 2 diabetes mellitus with exudative maculopathy","C10FQ00","421779007","1016","CPRD_AURUM"
"12336531000006116","Retinopathy with type 2 diabetes mellitus","","422034002","0","CPRD_AURUM"
"12331221000006112","Exudative maculopathy with type 1 diabetes mellitus","","420486006","0","CPRD_AURUM"
"12335671000006113","Exudative maculopathy with type 2 diabetes mellitus","","421779007","0","CPRD_AURUM"
"12705021000006112","Clinically significant macular oedema of right eye due to diabetes mellitus","","769221001","17","CPRD_AURUM"
"84811000006114","Type I diabetes mellitus with retinopathy","C108711","420789003","90","CPRD_AURUM"
"857981000006113","Right preproliferative diabetic retinopathy","","857981000006109","75","CPRD_AURUM"
"1785332013","Background diabetic retinopathy","F420000","390834004","681047","CPRD_AURUM"
"2159973010","O/E - right eye background diabetic retinopathy","2BBP.00","408409007","416678","CPRD_AURUM"
"1484887015","O/E - diabetic maculopathy present both eyes","2BBL.00","390854003","22368","CPRD_AURUM"
"455408014","Advanced diabetic retinal disease","F420500","311782002","920","CPRD_AURUM"
"6761841000006110","On examination - left eye preproliferative diabetic retinopathy","","408412005","0","CPRD_AURUM"
"12085891000006118","Clinically significant macular oedema of right eye co-occurrent and due to diabetes mellitus","","769221001","3","CPRD_AURUM"
"12221251000006114","Maculopathy due to diabetes mellitus","","232020009","0","CPRD_AURUM"
"12224841000006114","Macular oedema due to diabetes mallitus","","312912001","0","CPRD_AURUM"
"12086321000006119","Maculopathy of left eye due to diabetes mellitus","","769245002","0","CPRD_AURUM"
"6910411000006112","On examination - sight threatening diabetic retinopathy","","417677008","0","CPRD_AURUM"
"6837961000006116","Panretinal photocoagulation for diabetes","","413180006","0","CPRD_AURUM"
"12704951000006115","Diabetic retinopathy associated with type 1 diabetes mellitus","","420789003","0","CPRD_AURUM"
"857411000006110","Right proliferative diabetic retinopathy","","857411000006106","105","CPRD_AURUM"
"2549896013","O/E - sight threatening diabetic retinopathy","2BBo.00","417677008","116","CPRD_AURUM"
"12332271000006117","Retinopathy with type 1 diabetes mellitus","","420789003","0","CPRD_AURUM"
