"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"347","Diverticulitis","J511.00","","CPRD_GOLD"
"1101","Diverticulosis of the colon","J510500","","CPRD_GOLD"
"2044","Bleeding diverticulosis","J510900","","CPRD_GOLD"
"2536","Diverticulosis of the large intestine NOS","J510700","","CPRD_GOLD"
"3538","Diverticulosis of the duodenum","J510000","","CPRD_GOLD"
"3593","Diverticulosis","J510.00","","CPRD_GOLD"
"5686","Diverticular abscess","J513.00","","CPRD_GOLD"
"5857","Diverticular disease","J51..11","","CPRD_GOLD"
"7662","Diverticulosis NOS","J510z00","","CPRD_GOLD"
"8322","Diverticula of intestine","J51..00","","CPRD_GOLD"
"9511","Diverticula of the intestine NOS","J51z.00","","CPRD_GOLD"
"10437","Diverticulitis NOS","J511z00","","CPRD_GOLD"
"10483","Diverticulitis of the colon","J511500","","CPRD_GOLD"
"12345","Diverticulitis of the duodenum","J511000","","CPRD_GOLD"
"14942","Perforated diverticulum","J512.00","","CPRD_GOLD"
"17105","Divertic dis/both sml+lge intestin without perfor or abscess","J510800","","CPRD_GOLD"
"19935","Diverticulitis unspecified","J511y00","","CPRD_GOLD"
"27444","Diverticulosis of the jejunum","J510100","","CPRD_GOLD"
"31365","Diverticulitis of the small intestine unspecified","J511300","","CPRD_GOLD"
"34164","Excision of diverticulum of colon","7718000","","CPRD_GOLD"
"37588","Perforated diverticulum of duodenum","J512000","","CPRD_GOLD"
"37813","Perforated diverticulum of colon","J512500","","CPRD_GOLD"
"38941","Divertic disease/both sml+lge intestin with perforat+abscess","J512800","","CPRD_GOLD"
"42866","Perforated diverticulum of ileum","J512200","","CPRD_GOLD"
"44647","Diverticulosis of the ileum","J510200","","CPRD_GOLD"
"47924","Diverticulosis of the small intestine unspecified","J510300","","CPRD_GOLD"
"48173","Perforated diverticulum of jejunum","J512100","","CPRD_GOLD"
"48589","Perforated diverticulum of large intestine unspecified","J512600","","CPRD_GOLD"
"49066","Perforated diverticulum unspecified","J512y00","","CPRD_GOLD"
"49084","Diverticulosis unspecified","J510y00","","CPRD_GOLD"
"50313","Perforated diverticulum of large intestine NOS","J512700","","CPRD_GOLD"
"51511","Diverticulitis of the large intestine unspecified","J511600","","CPRD_GOLD"
"53092","Diverticulosis of the large intestine unspecified","J510600","","CPRD_GOLD"
"61664","Diverticulitis of the ileum","J511200","","CPRD_GOLD"
"61722","Diverticulitis of the jejunum","J511100","","CPRD_GOLD"
"62979","Diverticulitis of the large intestine NOS","J511700","","CPRD_GOLD"
"68959","Appendicular diverticulum","J23z300","","CPRD_GOLD"
"69918","Perforated diverticulum of intestine NOS","J512z00","","CPRD_GOLD"
"71130","Perforated diverticulum of small intestine unspecified","J512300","","CPRD_GOLD"
"72590","Diverticulitis of the small intestine NOS","J511400","","CPRD_GOLD"
"73334","Diverticulosis of the small intestine NOS","J510400","","CPRD_GOLD"
"106340","Perforated diverticulum of small intestine NOS","J512400","","CPRD_GOLD"
