"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"G130","Paraneoplastic neuromyopathy and neuropathy","G13.0","","0","ICD10"
"G560","Carpal tunnel syndrome","G56.0","","0","ICD10"
"G569","Mononeuropathy of upper limb, unspecified","G56.9","","0","ICD10"
"G579","Mononeuropathy of lower limb, unspecified","G57.9","","0","ICD10"
"G589","Mononeuropathy, unspecified","G58.9","","0","ICD10"
"G59","Mononeuropathy in diseases classified elsewhere","G59","","0","ICD10"
"G590","Diabetic mononeuropathy","G59.0","","0","ICD10"
"G60","Hereditary and idiopathic neuropathy","G60","","0","ICD10"
"G600","Hereditary motor and sensory neuropathy","G60.0","","0","ICD10"
"G602","Neuropathy in association with hereditary ataxia","G60.2","","0","ICD10"
"G603","Idiopathic progressive neuropathy","G60.3","","0","ICD10"
"G609","Hereditary and idiopathic neuropathy, unspecified","G60.9","","0","ICD10"
"G61","Inflammatory polyneuropathy","G61","","0","ICD10"
"G610","Guillain-Barré syndrome","G61.0","","0","ICD10"
"G611","Serum neuropathy","G61.1","","0","ICD10"
"G619","Inflammatory polyneuropathy, unspecified","G61.9","","0","ICD10"
"G620","Drug-induced polyneuropathy","G62.0","","0","ICD10"
"G621","Alcoholic polyneuropathy","G62.1","","0","ICD10"
"G622","Polyneuropathy due to other toxic agents","G62.2","","0","ICD10"
"G629","Polyneuropathy, unspecified","G62.9","","0","ICD10"
"G63","Polyneuropathy in diseases classified elsewhere","G63","","0","ICD10"
"G630","Polyneuropathy in infectious and parasitic diseases classified elsewhere","G63.0","","0","ICD10"
"G631","Polyneuropathy in neoplastic disease","G63.1","","0","ICD10"
"G632","Diabetic polyneuropathy","G63.2","","0","ICD10"
"G633","Polyneuropathy in other endocrine and metabolic diseases","G63.3","","0","ICD10"
"G634","Polyneuropathy in nutritional deficiency","G63.4","","0","ICD10"
"G635","Polyneuropathy in systemic connective tissue disorders","G63.5","","0","ICD10"
"G636","Polyneuropathy in other musculoskeletal disorders","G63.6","","0","ICD10"
"G638","Polyneuropathy in other diseases classified elsewhere","G63.8","","0","ICD10"
"G900","Idiopathic peripheral autonomic neuropathy","G90.0","","0","ICD10"
"G990","Autonomic neuropathy in endocrine and metabolic diseases","G99.0","","0","ICD10"
