"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"38VP.00","Young Townson FootSkin Scale for Diabetic Neuropathy","38VP.00",,"0","IMRD"
"A531300","Postherpetic polyneuropathy","A531300",,"253","IMRD"
"A72x100","Mumps polyneuropathy","A72x100",,"1","IMRD"
"C106.12","Diabetes mellitus with neuropathy","C106.12",,"10281","IMRD"
"C106.13","Diabetes mellitus with polyneuropathy","C106.13",,"68","IMRD"
"C108B00","Insulin dependent diabetes mellitus with mononeuropathy","C108B00",,"7","IMRD"
"C108B11","Type I diabetes mellitus with mononeuropathy","C108B11",,"1","IMRD"
"C108B12","Type 1 diabetes mellitus with mononeuropathy","C108B12",,"0","IMRD"
"C108C00","Insulin dependent diabetes mellitus with polyneuropathy","C108C00",,"10","IMRD"
"C108C11","Type I diabetes mellitus with polyneuropathy","C108C11",,"0","IMRD"
"C108C12","Type 1 diabetes mellitus with polyneuropathy","C108C12",,"0","IMRD"
"C109A00","Non-insulin dependent diabetes mellitus with mononeuropathy","C109A00",,"3","IMRD"
"C109A11","Type II diabetes mellitus with mononeuropathy","C109A11",,"0","IMRD"
"C109A12","Type 2 diabetes mellitus with mononeuropathy","C109A12",,"0","IMRD"
"C109B00","Non-insulin dependent diabetes mellitus with polyneuropathy","C109B00",,"17","IMRD"
"C109B11","Type II diabetes mellitus with polyneuropathy","C109B11",,"3","IMRD"
"C109B12","Type 2 diabetes mellitus with polyneuropathy","C109B12",,"4","IMRD"
"C10EB00","Type 1 diabetes mellitus with mononeuropathy","C10EB00",,"10","IMRD"
"C10EB11","Type I diabetes mellitus with mononeuropathy","C10EB11",,"0","IMRD"
"C10EB12","Insulin dependent diabetes mellitus with mononeuropathy","C10EB12",,"0","IMRD"
"C10EC00","Type 1 diabetes mellitus with polyneuropathy","C10EC00",,"27","IMRD"
"C10EC11","Type I diabetes mellitus with polyneuropathy","C10EC11",,"0","IMRD"
